ask,Information,type,Source
휴대폰에서도 간편조회서비스 이용 가능한가요?,"ID/PW 방식의 간편조회서비스 이용은 불가합니다. 다만, 이용하시는 휴대폰의 모바일웹 브라우저를 통해 신한은행에 접속 시 회원가입 없이 휴대폰 본인인증과 본인계좌인증을 통해 계좌조회는 가능합니다. 
※ 모바일에서 홈페이지와 동일한 간편조회서비스 이용을 원하실 경우 신한은행 모바일웹 페이지에서 PC버전으로 접속하여 이용해 주시면 됩니다.",간편서비스,신한은행
인터넷뱅킹에서 모바일OTP 인증요청 했는데 푸시메세지가 오지 않아요. 어떻게 해야하나요?,신한 쏠(SOL) 푸시알림 수신에 동의를 하신경우 푸시를 받을수 있습니다. 경로 : 신한 쏠(SOL) 로그인 > 전체메뉴 > 설정/인증  > 일반 > 알림 > 금융정보 알림 항목을 수신동의로 설정 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다. ,인터넷뱅킹,신한은행
모바일 OTP 사용하고 있는데 인터넷뱅킹에서는 어떻게 이용하는건가요?,"인터넷뱅킹 거래시 보안매체 입력단계에 [인증요청] 버튼 클릭하면 핸드폰으로 푸시메세지가 전달됩니다. 
푸시메세지 터치하여 모바일 OTP 비밀번호 6자리 입력, 인증처리 완료후 인터넷뱅킹에서 이후의 절차를 진행하시면 됩니다.
※ 스마트폰에 모바일 OTP 푸시(PUSH) 메세지가 오지 않는 경우 메뉴 직접 실행 
- 신한 쏠(SOL) [로그인 하지 않음]> 전체메뉴> 설정/인증> 보안매체 전체보기> 모바일OTP> 인증
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다. ",인터넷뱅킹,신한은행
증권사에서 발급받은 인증서는 은행에서 사용 불가한가요? ,"인증서 용도로 구분해 주셔야 합니다. 
증권용(무료) 인증서를 통한 은행 거래는 불가하나, 발급하신 인증서가 전자거래범용(유료) 인증서일 경우 은행에서도 이용 가능합니다.",인증서,신한은행
미래를함께하는따뜻한금융 안전한금융거래를위해준비중입니다.' 화면에서 멈춤 / 로딩중 멈추는데 어떻게 하나요?,"오류 사유는 인터넷 익스플로러 설정값의 영향이거나 이용하시는 장소의 네트워크 영향에 의해 로딩이 원활하지 않은 경우입니다. 
조치방법은 
1. 임시 인터넷 파일 및 쿠키 삭제, 신뢰할 수 있는 사이트 추가 
 인터넷 익스플로러 상단의 [도구] > [인터넷옵션]에서
① [일반Tab] > 검색기록항목의 [삭제] 버튼 클릭 ""임시 인터넷 파일 및 사이트 파일"" , ""쿠키 및 웹사이트 데이터"" 항목만 체크하고 [삭제] 
② [보안Tab] > 신뢰할 수 있는 사이트 > [사이트] 클릭하여 [ https://*.shinhan.com ] 추가 후 적용 및 확인하십시오. 
 또는, 당행 보안프로그램 삭제 열려있는 브라우저 종료 후, 시작 > 제어판의 [프로그램 추가/제거] (총 4개이며 보이지 않으면 제거할 필요없음) 
- AhnLab Safe Transaction, 
 - iniLINE CrossEX Service, 
- INISAFE CrossWeb EX v3.0, 
- TouchEn nxKey with E2E for 32bit
3. 새 브라우저 열어서 개인인터넷뱅킹 재접속 후 [통합설치] 진행 하세요. 
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다. ",,신한은행
해외에서 예적금해지중 ARS 추가인증을 할 수 없어 해지를 할수 없습니다. 어떻게 해야하나요?,"해외IP로 인터넷뱅킹접속시 시간에 따라 추가인증 방법이 상이합니다. (한국시간 기준)
은행영업일 9시~18시 : 해외거주/체류자인증으로 추가인증 가능하며, 통신국가코드, 연락가능한 해외 전화번호 입력후 본인확인신청 요청하시면 상담사와 연결되어 본인확인후 인증처리 가능합니다. 
은행영업일 9시~18시 이외 : 당행에 등록된 연락처로 ARS 추가인증 진행합니다.",인터넷뱅킹,신한은행
해외체류중인 외국인으로 인증서발급시 추가인증을 할수 없는데 어떻게 해야하나요?,"외국인이신 경우 당행 영문뱅킹에서 공동인증서 발급하시면 추가인증단계에서 추가인증 생략 선택 후 발급가능합니다. (단, 국내시간 기준으로 심야시간 0시~ 06시에는 추가인증 생략이 불가합니다.)
[경로]
① 신한은행 홈페이지 접속 → 우측상단 GLOBAL→ English → PERSONAL BANKING 
② Digital Certificate Center → Issue/reissue a digital certificate ",인터넷뱅킹,신한은행
해외IP 차단서비스 가입되어있다고 이체를 할수 없다고 나옵니다. 어떻게 해야 하나요?,"해외IP 차단서비스에 가입되어 있는경우, 해외IP로 개인뱅킹 접속하여 보안매체 인증해야 하는 거래는 하실수 없도록 제한됩니다. 
해외IP 차단서비스 해제는 본인이 신분증 지참후 영업점 방문하셔야 해제 가능합니다. 
단. 해외 체류중인 경우 출입국사실증명서를 보내주시면 고객센터에서도 해제가능하니 
신한은행 고객상담센터 ☎ 82-2-3449-8000번으로 문의주시면 자세히 상담해드리겠습니다. ",인터넷뱅킹,신한은행
영문뱅킹에서도 간편조회서비스 이용가능한가요? ,영문뱅킹에서는 간편조회서비스 이용불가합니다. ,간편서비스,신한은행
아이핀으로 홈페이지회원 가입한 고객은 간편조회서비스 이용할 수 없나요?,"아이핀으로 홈페이지 회원가입하신 고객은 홈페이지에서 개인회원으로 전환 후 간편조회서비스 이용가능 합니다. 
홈페이지 이용자아이디와 비밀번호 로그인→ (우측상단) 고객센터→ 회원서비스 →[ I-Pin → 개인회원 전환]→ '보기' 클릭 후 약관동의→ 개인회원정보 등록→ 확인 
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다. ",간편서비스,신한은행
간편조회서비스는 회원가입해야만 이용할 수 있나요?,"간편조회서비스에는 로그인을 위해 회원가입이 필요한 서비스와 회원가입 없이 누구나 이용 가능한 서비스가 있습니다.
회원가입 및 로그인이 필요한 메뉴는
① 계좌조회, ② 시효포기채권감면조회, ③ 대학등록금 납부하기(당행인터넷뱅킹가입자만 이용가능, 인증서 로그인필요), ④ 제로페이Biz 승인내역 조회 입니다. 

회원가입 없이 이용 가능한 메뉴는
① 예금잔액증명서조회, ② 자기앞수표조회, ③ 환율조회,환가료율조회, ④ 여신증명서 발급사실 확인 , ⑤ 지급보증서조회, ⑥ 대학등록금 (납부조회. 영수증DM신청,고지서출력 ), ⑦ 법원업무 (예약접수신청 , 예약접수조회 , 계좌환급조회 ,송달료조회), ⑧ 상조예치금 조회  입니다. 
",간편서비스,신한은행
홈페이지 이용자아이디 여러 개 사용할 수 있나요?,"홈페이지 이용자 아이디는 개인의 경우 1인 1개만 이용 가능하고 기업의 경우에는 1개의 사업자번호당 사용자별로 이용자아이디를 복수로 사용할 수 있습니다. 
※ 개인사업자의 경우 개인과 기업 각각 이용자아이디를 발급하여 복수로 이용 가능합니다. 
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다. ",홈페이지,신한은행
홈페이지상에 제가 등록한 칭찬/불만/제안사항 조회할 수 있나요?,"로그인 후 등록한 접수내용에 대해서 확인 가능합니다.
[경로 안내] 홈페이지 로그인 → (우측상단) 고객센터 → 금융소비자보호 → [칭찬/불만/제안] 나의 접수현황/취소신청 
※ 로그인 하지 않은 상태에서도 홈페이지에 칭찬/불만/제안 접수 가능하나
추후, 본인 접수내용을 확인하려면 로그인해서 등록한 내용에 대해서만 [나의 접수현황]에서 조회 가능합니다.
 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",홈페이지,신한은행
영업점에서 인터넷뱅킹 가입하고 왔는데 홈페이지회원은 별도로 가입해야 하나요?,"인터넷뱅킹 가입과 홈페이지 회원은 개별로 운영되고 있습니다. 
인터넷뱅킹만 가입을 하셨다면 별도로 홈페이지에 회원가입 후 홈페이지 로그인이 가능합니다. 
※ 영업점에서 인터넷뱅킹 가입 시 전계좌조회서비스 가입하신 고객은 홈페이지 상에서 이용자비밀번호 등록 후 이용가능합니다. 
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",홈페이지,신한은행
영업점에서 공동인증서 발급 가능한가요?,"본인이 방문하여 요청 시 공동인증서 창구발급서비스 이용이 가능합니다. \r\n단, 창구에서 발급신청을 하시더라도 인증서 저장은 고객님의 스마트폰에서 직접 진행해주셔야 합니다. \r\n\r\n신한 쏠(SOL)  접속   설정/인증  공동인증서  인증서창구발급  \r\n주민등록번호, 영업점에서 받은 6자리 인증번호 입력(30분 이내) 공동인증서 \r\n암호 입력(2회)  확인[유의사항]\r\n\r\n① 본인만  신청 가능하며 대리인 신청 불가② 타행에 은행/신용카드/보험용 인증서가 발급되어 있는 경우 신청 \r\n 불가 \r\n\r\n※ 영업점 창구에서 공동인증서 창구 발급 신청 시, 이전에 발급된 공동인증서는 자동 폐기 됩니다. ",,신한은행
영업점에 개명신청을 했는데 인증서는 예전이름이 그대로 보여요 인증서명 변경은 어떻게 하나요?,"인증서 정보가 발급받은 저장매체(하드디스크, USB 등)에 파일형태로 저장되므로 은행을 방문하여 개명신청을 하셨더라도 PC에 저장된 인증서 파일의 정보는 자동으로 반영되지 않습니다.  인증서 만료 시까지는 기존 인증서를 그대로 사용하셔도 되고 개명된 이름으로 인증서명 변경을 원하실 경우 인증서를 재발급 받으면 변경된 이름으로 적용이 됩니다.",인증서,신한은행
신한쏠로  인증서복사 어떻게 하나요?,"신한 쏠(SOL)에서 공동인증서를 이용하기 위해서는 인증서가 저장된 PC 또는 이동식디스크(USB)에 저장된 인증서를 스마트폰으로 복사한 후 이용 가능합니다. 인증서 복사 시에는 반드시 인증서가 저장되어 있는 PC에서 진행하여야 하며, 사용할 스마트폰이 있어야 합니다. ■ 인증서 PC → 스마트폰 복사방법1. 신한은행 개인뱅킹 접속① 인증센터 > 공동인증서(구 공인인증서)② (화면 상단)스마트폰 인증서복사>PC → 스마트폰(어플)복사③ PC→스마트폰인증서복사 클릭④ (복사할 인증서 선택)인증서 암호입력>확인⑤ 인증번호 입력칸 확인2. 신한 쏠(SOL) 접속① 초화면 우측 하단 메뉴>설정/인증>공동인증서② 인증서복사> PC → 휴대폰복사 ③ 인증번호 8자리 생성>생성된 번호 PC에 입력>확인④ 신한 쏠(SOL) [인증서 복사가 완료되었습니다] 확인※발급된 인증서가 없는 경우 인터넷뱅킹 또는 신한 쏠(SOL)에서 은행/신용카드/보험용 인증서 발급이 가능합니다.",,신한은행
인터넷뱅킹 보안프로그램 - 해킹방지 솔루션 ASTx 기능 안내 해줘요,"인터넷뱅킹 이용시 설치되는 해킹방지 솔루션(ASTx : Ahnlab Safe Transaction)은 다음과 같은 기능으로 동작합니다. 
① 기본 보호모드 : PC부팅시 실행host 파일 보호피싱/파밍 사이트 경고 및 차단자동업데이트 등
② 고급 보호모드 : 신한은행 홈페이지/인터넷뱅킹 접속시 실행악성코드 탐지 및 수동검사 치료웹브라우저 메모리 데이터 보호 개인 방화벽화면캡쳐방지 및 원격제어 차단단말정보 수집 등고객님의 안전한 인터넷뱅킹 이용을 위하여 현재 저희 신한은행에서 
ASTx프로그램을 설치하면 PC부팅시 신한은행 인터넷뱅킹 접속 여부와 상관없이 기본 보호모드가 동작하게 되며, 저희 신한은행 인터넷뱅킹 접속시 고급 보호모드가 동작하게 됩니다. 
* PC부팅시 동작하는 기본 보호모드를 제외하고 인터넷뱅킹을 이용하시려면 아래 해킹방지 솔루션 ASTx (기본 보호모드 제외 버전)을 설치후 이용 가능합니다.",,신한은행
"보안프로그램 ASTx, CrossWebEx, TouchEnNxKey 이 설치되어 있어도 설치 팝업이 반복 출력되는 경우","보안프로그램 ASTx, CrossWebEx, TouchEnNxKey 이 설치되어 있어도 설치 팝업이 반복 출력되는 경우",,신한은행
Internet Explorer 브라우저 사용 시 브라우저 화면이 흰색으로 변경되는 현상,"2017년 5월에 개편된 인터넷뱅킹 및 홈페이지는 웹표준 기술(HTML5)로 구축되어 있습니다. 그러나 인터넷 익스플로러 브라우저는 과거 비표준 기술인 ActiveX를 사용하기 위하여 브라우저 옵션 및 설정이 변경되는 경우가 많기 때문에 개편된 사이트의 HTML5 기술이 동작하지 않아 화면이 하얗게 보이는 현상입니다. HTML5를 지원하지 않는 IE8, IE9 브라우저는 상위 IE 혹은 크롬을 설치하여 이용해 주시기 바랍니다.
1. 신뢰할 수 있는 사이트 추가, IE 브라우저의 도구 인터넷 옵션을 선택 후① '보안' 탭 선택② 상단의 ‘보안 설정을 보거나 변경할 영역을 선택하십시오.’ 에서 “신뢰할 수 있는 사이트” 클릭③ ‘사이트’ 버튼 클릭④ 영역에 웹 사이트 추가에 ‘*.shinhan.com’ 입력 후 ‘추가’ 버튼 클릭⑤ ‘이 영역에 있는 모든 사이트데 대해 서버 검증(https:) 필요’ 해제2. 추가 설정 IE 브라우저의 도구 인터넷 옵션을 선택 후 ① '보안' 탭 선택 후 ‘이 영역에 적용할 보안 수준’의 “기본 수준” 버튼 클릭 ② ‘고급’ 탭 선택 후 ‘설정’ 부분의 보안 영역의 ‘DOM 저장소 사용’ 체크③ 인터넷 옵션 창의 하단 ‘적용’ 버튼 클릭",,신한은행
구글 Chrome 브라우저 안내,"고객님, 컴퓨터 사용 환경이 윈도우 XP/익스플로러 7.0 혹은 8.0을 사용중이시면 좀 더 빠르고 편리하게 인터넷뱅킹 사용을 위해 구글 Chrome브라우저를 이용해 보시기 바랍니다.
설치 링크는 https://www.google.com/intl/ko/chrome/?hl=ko&brand=CHMA&utm_campaign=ko&utm_source=ko-ha-apac-ko-bk&utm_medium=ha 입니다.",,신한은행
해외고객 추가인증 방법,"먼저 이용에 불편을 드려 대단히 죄송합니다. 2013년 9월 전자금융사기 예방서비스 전면 시행으로 인해, 국내외에서 뱅킹이용시 거래에 따라 추가인증을 거치게 되었습니다.
① 인증서 발급/재발급, 1일 누적 300만원 이상 이체시 시행하는 추가인증 방법(누적금액은 변경될수 있습니다.)해외IP로 접속하신 부분이 자동으로 확인되면 ‘해외체류 확인’ 항목이 활성화 되기 때문에 법무부 출입국관리사무소에 출국정보를 확인 받는 부분에 동의하시면 ARS 인증없이 거래가 가능합니다.
※ 해외 소재한 국내기업의 내부 인터넷망을 이용하시는 경우 국내IP로 인식하여 해당 추가 인증기능 활성화가 안되는 경우가 있으니 유의부탁드립니다.
② 해외에서 온라인을 통한 예금해지/대출실행 업무시 추가인증 방법한국시간 기준으로 은행 영업일의 오전9시부터 오후6시 사이에 뱅킹에 접속하시면  해외 현지 연락처를 직접 입력하여 추가인증의 진행이 가능하도록 되어있습니다. 
③ 고객정보 보호 목적으로 인터넷뱅킹상에서 개인정보 변경 등의 일부 중요업무이 경우는 ARS인증만을 시행하도록 하고 있습니다.  왜냐하면, 타인에 의한 정보변경 시도 등을 차단하고자 하는 부분이므로 만약 해외에서 070 등 인터넷전화를 사용하시는 경우 미리 한국에서 정보변경을 하지 못하셨다면 고객센터 82-2-3449-8000 또는 82-2-3708-8000으로 상담사에게 문의하시기 바랍니다. 
④ “불법거래 방지를 위해 이체거래가 정지되었다”라고 뜨는 경우
82-2-3449-8000 또는 82-2-3708-8000으로 연락주셔서 상담직원을 통한 사고등록 해제가 가능합니다. 이체제한 해제는 24시간 가능하며, 본인확인을 위해 몇가지 정보확인을 거치는 점 양해바랍니다.
82-2-3449-8000 번호로 전화주셔서 음성이 나오면 차례대로 6-3-3-0 코드를 따라서  24시간 사고관련 상담직원과 통화가 가능합니다
해외에 계신 고객분들도 뱅킹을 이용하실 수 있도록 편의성 부분도 많이 고려하고 있으나, 최근 해외IP를 통해 전자금융서비스 이용고객분들께 피해를 입히려는 시도가 다수 발생하고 있기 때문에 제한적으로 해외체류 확인 항목을 적용할 수 밖에 없어서 안타깝게 생각합니다. 편리성 못지 않게 고객분들의 소중한 자산을 지키는 것이 중요하다보니 이와 같이 시행하고 있는 점 다시 한번 양해 부탁드립니다.",인터넷뱅킹,신한은행
홈페이지에서 계좌거래내역 조회할 수 있나요?,"홈페이지회원  가입 후 간편조회서비스를 통해 계좌 거래내역 조회 가능합니다.
홈페이지 회원가입 후 [간편계좌관리]에서 이용하실 계좌를 등록하면 계좌 거래내역 조회 가능합니다.
인터넷뱅킹 미가입자도 이용가능합니다.",간편서비스,신한은행
이체한도 증액은 어떻게 하나요?,"영업점 방문하지 않아도 모바일뱅킹 신한 쏠(SOL) 에서 비대면실명 인증후 통합이체한도 증액 가능합니다. 통합이체한도는 이용하시는 보안매체에 따라, 보안등급별 최고 한도내에서 증액가능합니다.
OTP카드 창구 발급 시 5,000원(카드형 10,000원)의 수수료가 부과됩니다. 당행에서만 사용가능한 모바일OTP는 영업점 방문없이 신한 쏠(SOL) 에서 무료로 발급가능합니다. 
※ 모바일OTP를 이용하시는 경우 쏠(SOL)에서 이체한도 증액은 1회 1천만원 이하, 1일 5천만원 이하로 증액 가능합니다. 
※ 만 14세 미만의 경우 법정대리인(부모/친권자/후견인)에 의해 영업점 방문하여 증액 가능하며 1일, 1회 1백만원 이하로 이체한도 제한됩니다. 
통합한도란 인터넷뱅킹/신한 쏠(SOL)/폰뱅킹 등을 사용하는 경우 1일 또는 1회에 이체 가능한 통합 이체한도를 말합니다.
* 인터넷뱅킹/신한 쏠(SOL)/폰뱅킹에서 거래한 이체금액의 합이 통합이체한도의 범위를 초과할 수 없습니다.
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",인터넷뱅킹,신한은행
MS 인터넷 익스플로러 환경에서의 피해방지를 위한 안내 해줘.,"마이크로소프트의 인터넷 익스플로러 브라우저에서 신규 취약점이 발견됨에 따라 신한온라인서비스 이용고객의 피해를 예방하기 위해 Windows 자동 업데이트 사용을 권장합니다.
Windows의 자동 업데이트 기능에 대한 설명 및 설정은 Microsoft 고객지원 페이지를 참조하시기 바랍니다.",,신한은행
대출 사칭 문자 받앗어요,최근에 신한은행 사칭 하여 마이너스 통장 발급대상이라는 문자를 보내고 있는거 같습니다. 당행에서는 마이너스 통장 발급 대상 문자를 보내드리지는 않습니다. 대출 가능 여부는 개인 신용정보  조회 동의  후 심사를 통해서만 확인이 가능하기 때문에문자 발송을 하지 않습니다.참고로 고객님 정보가 노출이 되었기 때문에 아래 내용을 참고하여 주시기 바랍니다.         ,,신한은행
인쇄 기능 장애 발생시 확인 방법,기존 설치된 인쇄관련 프로그램이 손상되었거나 정상 구동되지 않아 발생할 수 있습니다. 먼저 설치된 프로그램을 삭제하고 재설치하는 방법 안내드리겠습니다 원활한 진행을 위해서 열려있는 브라우저나 프로그램은 모두 종료 후 진행해 주시기 바랍니다. [삭제방법] 제어판 → 프로그램 추가/제거(또는 프로그램 및 기능) → Printmade3 삭제 [설치방법] 아래 인터넷뱅킹 통합프로그램설치 버튼을 클릭 →  설치화면 하단의 인터넷화면 인쇄 프로그램(Printmade)을 재설치 하시기 바랍니다. ,,신한은행
예약이체를 했는데 이체일에 송금이 안된 경우는?,"모든 예약이체 등록건은 예약이체 지정일 지정된 시간(오전 7시, 오전 9시, 오전 11시, 오후 1시, 오후 3시, 오후 5시, 오후 7시, 오후 9시) 이전에 출금할 계좌에 송금액이 입금이 되어야 이체가 실행될 수 있습니다.
이체가 되지 않았다고 판단되실 경우에는 반드시 먼저 ""예약이체처리결과조회"" 또는 ""계좌 거래내역""을 확인 하시어 이체여부 및 출금여부를 확인하시기 바랍니다. 또한 예약이체 신청시 SMS 결과통보신청을 하셨다면 요청하신 휴대폰번호로 수신된 문자를 확인해주시기 바라며, 정해진 시간에 이체되지 않은 경우 신한은행 고객상담센터 ☎ 1599-8000번으로 문의 주시기 바랍니다.",인터넷뱅킹,신한은행
매월 일정금액을 타은행으로 자동송금 신청시 이체기준 알려줘,"타은행으로 매월 일정금액을 자동송금 신청 하셨을때 당월 또는 익월은 입력하지 말고, 신청등록을 하십시오. 자동이체 등록일을 기준으로 자동 이체일이 등록일보다 빠르면 익월부터 자동으로 이체가 되며, 자동 이체일이 등록일보다 늦으면 당월부터 자동이체가 되기 때문입니다. 예시 자동이체 신청 등록일 15일, 자동 이체일 10일이면 익월 10일부터 이체 자동이체 신청 등록일 15일, 자동 이체일 20일이면 당월 20일부터 이체",,신한은행
이체한도란 무엇인가요?,"이체한도란 인터넷뱅킹, 폰뱅킹, 모바일뱅킹 등을 통하여 이체할 수 있는 거래한도를 말합니다. ① 1일/1회 이체한도 1일 이체한도란 하루에 거래할 수 있는 이체금액의 합을 말하여, 1회 이체한도란 1회에 이체하실 수 있는 금액의 한도를 말합니다. ② 통합이체한도 인터넷뱅킹, 폰뱅킹, 모바일뱅킹 등을 고객님이 사용하시는 경우 고객님이 1일 또는 1회에 이체하실 수 있는 이체한도를 말합니다. 인터넷뱅킹, 폰뱅킹, 모바일뱅킹 등에서 고객님이 거래하신 이체금액의 합이 통합이체한도의 범위를 초과할 수 없습니다. ③ 최고이체한도 금융감독원에서는 개인의 전자금융 시 이용할 수 있는 이체한도의 가이드라인을 정하고 있습니다.(인터넷뱅킹 : 1일 5억원, 1회 1억원 이내)",인터넷뱅킹,신한은행
