date,material_type,location,quantity_units,safety_stock_days,current_days_supply,reorder_triggered
2024-09-10,Lithium_Hydroxide,US_East,580,15,6,FALSE
2024-09-10,Electrolyte,US_East,920,10,2,FALSE
2024-09-11,Lithium_Carbonate,US_East,1950,15,9,FALSE
2024-09-11,Battery_Components,US_East,1220,12,9,FALSE
2024-09-11,Cathode_Materials,US_East,580,10,5,FALSE
2024-09-11,Separator_Films,US_East,600,8,3,FALSE
2024-09-11,Lithium_Hydroxide,US_East,640,15,9,FALSE
2024-09-11,Electrolyte,US_East,1010,10,5,FALSE
2024-09-12,Lithium_Carbonate,US_East,1900,15,8,FALSE
2024-09-12,Battery_Components,US_East,1200,12,8,FALSE
2024-09-12,Cathode_Materials,US_East,550,10,4,FALSE
2024-09-12,Separator_Films,US_East,580,8,2,FALSE
2024-09-12,Lithium_Hydroxide,US_East,630,15,8,FALSE
2024-09-12,Electrolyte,US_East,990,10,4,FALSE
2024-09-13,Lithium_Carbonate,US_East,1850,15,7,FALSE
2024-09-13,Battery_Components,US_East,1180,12,7,FALSE
2024-09-13,Cathode_Materials,US_East,520,10,3,FALSE
2024-09-13,Separator_Films,US_East,560,8,1,FALSE
2024-09-13,Lithium_Hydroxide,US_East,620,15,7,FALSE
2024-09-13,Electrolyte,US_East,970,10,3,FALSE
2024-09-14,Lithium_Carbonate,US_East,1800,15,6,FALSE
2024-09-14,Battery_Components,US_East,1160,12,6,FALSE
2024-09-14,Cathode_Materials,US_East,490,10,2,FALSE
2024-09-14,Separator_Films,US_East,540,8,0,FALSE
2024-09-14,Lithium_Hydroxide,US_East,610,15,6,FALSE
2024-09-14,Electrolyte,US_East,950,10,2,FALSE
2024-09-15,Lithium_Carbonate,US_East,1750,15,5,FALSE
2024-09-15,Battery_Components,US_East,1140,12,5,FALSE
2024-09-15,Cathode_Materials,US_East,460,10,1,FALSE
2024-09-15,Separator_Films,US_East,520,8,-1,FALSE
2024-09-15,Lithium_Hydroxide,US_East,600,15,5,FALSE
2024-09-15,Electrolyte,US_East,930,10,1,FALSE
2024-09-16,Lithium_Carbonate,US_East,1900,15,8,FALSE
2024-09-16,Battery_Components,US_East,1250,12,8,FALSE
2024-09-16,Cathode_Materials,US_East,570,10,4,FALSE
2024-09-16,Separator_Films,US_East,600,8,2,FALSE
2024-09-16,Lithium_Hydroxide,US_East,660,15,8,FALSE
2024-09-16,Electrolyte,US_East,1020,10,4,FALSE
2024-09-17,Lithium_Carbonate,US_East,1850,15,7,FALSE
2024-09-17,Battery_Components,US_East,1230,12,7,FALSE
2024-09-17,Cathode_Materials,US_East,540,10,3,FALSE
2024-09-17,Separator_Films,US_East,580,8,1,FALSE
2024-09-17,Lithium_Hydroxide,US_East,650,15,7,FALSE
2024-09-17,Electrolyte,US_East,1000,10,3,FALSE
2024-09-18,Lithium_Carbonate,US_East,1800,15,6,FALSE
2024-09-18,Battery_Components,US_East,1210,12,6,FALSE
2024-09-18,Cathode_Materials,US_East,510,10,2,FALSE
2024-09-18,Separator_Films,US_East,560,8,0,FALSE
2024-09-18,Lithium_Hydroxide,US_East,640,15,6,FALSE
2024-09-18,Electrolyte,US_East,980,10,2,FALSE
2024-09-19,Lithium_Carbonate,US_East,1750,15,5,FALSE
2024-09-19,Battery_Components,US_East,1190,12,5,FALSE
2024-09-19,Cathode_Materials,US_East,480,10,1,FALSE
2024-09-19,Separator_Films,US_East,540,8,-1,FALSE
2024-09-19,Lithium_Hydroxide,US_East,630,15,5,FALSE
2024-09-19,Electrolyte,US_East,960,10,1,FALSE
2024-09-20,Lithium_Carbonate,US_East,1700,15,4,FALSE
2024-09-20,Battery_Components,US_East,1170,12,4,FALSE
2024-09-20,Cathode_Materials,US_East,450,10,0,FALSE
2024-09-20,Separator_Films,US_East,520,8,-2,FALSE
2024-09-20,Lithium_Hydroxide,US_East,620,15,4,FALSE
2024-09-20,Electrolyte,US_East,940,10,0,FALSE
2024-09-21,Lithium_Carbonate,US_East,1850,15,7,FALSE
2024-09-21,Battery_Components,US_East,1280,12,7,FALSE
2024-09-21,Cathode_Materials,US_East,560,10,3,FALSE
2024-09-21,Separator_Films,US_East,600,8,1,FALSE
2024-09-21,Lithium_Hydroxide,US_East,680,15,7,FALSE
2024-09-21,Electrolyte,US_East,1030,10,3,FALSE
2024-09-22,Lithium_Carbonate,US_East,1800,15,6,FALSE
2024-09-22,Battery_Components,US_East,1260,12,6,FALSE
2024-09-22,Cathode_Materials,US_East,530,10,2,FALSE
2024-09-22,Separator_Films,US_East,580,8,0,FALSE
2024-09-22,Lithium_Hydroxide,US_East,670,15,6,FALSE
2024-09-22,Electrolyte,US_East,1010,10,2,FALSE
2024-09-23,Lithium_Carbonate,US_East,1750,15,5,FALSE
2024-09-23,Battery_Components,US_East,1240,12,5,FALSE
2024-09-23,Cathode_Materials,US_East,500,10,1,FALSE
2024-09-23,Separator_Films,US_East,560,8,-1,FALSE
2024-09-23,Lithium_Hydroxide,US_East,660,15,5,FALSE
2024-09-23,Electrolyte,US_East,990,10,1,FALSE
2024-09-24,Lithium_Carbonate,US_East,1700,15,4,FALSE
2024-09-24,Battery_Components,US_East,1220,12,4,FALSE
2024-09-24,Cathode_Materials,US_East,470,10,0,FALSE
2024-09-24,Separator_Films,US_East,540,8,-2,FALSE
2024-09-24,Lithium_Hydroxide,US_East,650,15,4,FALSE
2024-09-24,Electrolyte,US_East,970,10,0,FALSE
2024-09-25,Lithium_Carbonate,US_East,1650,15,3,FALSE
2024-09-25,Battery_Components,US_East,1200,12,3,FALSE
2024-09-25,Cathode_Materials,US_East,440,10,-1,FALSE
2024-09-25,Separator_Films,US_East,520,8,-3,FALSE
2024-09-25,Lithium_Hydroxide,US_East,640,15,3,FALSE
2024-09-25,Electrolyte,US_East,950,10,-1,FALSE
2024-09-26,Lithium_Carbonate,US_East,1800,15,6,FALSE
2024-09-26,Battery_Components,US_East,1310,12,6,FALSE
2024-09-26,Cathode_Materials,US_East,550,10,2,FALSE
2024-09-26,Separator_Films,US_East,600,8,0,FALSE
2024-09-26,Lithium_Hydroxide,US_East,700,15,6,FALSE
2024-09-26,Electrolyte,US_East,1040,10,2,FALSE
2024-09-27,Lithium_Carbonate,US_East,1750,15,5,FALSE
2024-09-27,Battery_Components,US_East,1290,12,5,FALSE
2024-09-27,Cathode_Materials,US_East,520,10,1,FALSE
2024-09-27,Separator_Films,US_East,580,8,-1,FALSE
2024-09-27,Lithium_Hydroxide,US_East,690,15,5,FALSE
2024-09-27,Electrolyte,US_East,1020,10,1,FALSE
2024-09-28,Lithium_Carbonate,US_East,1700,15,4,FALSE
2024-09-28,Battery_Components,US_East,1270,12,4,FALSE
2024-09-28,Cathode_Materials,US_East,490,10,0,FALSE
2024-09-28,Separator_Films,US_East,560,8,-2,FALSE
2024-09-28,Lithium_Hydroxide,US_East,680,15,4,FALSE
2024-09-28,Electrolyte,US_East,1000,10,0,FALSE
2024-09-29,Lithium_Carbonate,US_East,1650,15,3,FALSE
2024-09-29,Battery_Components,US_East,1250,12,3,FALSE
2024-09-29,Cathode_Materials,US_East,460,10,-1,FALSE
2024-09-29,Separator_Films,US_East,540,8,-3,FALSE
2024-09-29,Lithium_Hydroxide,US_East,670,15,3,FALSE
2024-09-29,Electrolyte,US_East,980,10,-1,FALSE
2024-09-30,Lithium_Carbonate,US_East,1600,15,2,FALSE
2024-09-30,Battery_Components,US_East,1230,12,2,FALSE
2024-09-30,Cathode_Materials,US_East,430,10,-2,FALSE
2024-09-30,Separator_Films,US_East,520,8,-4,FALSE
2024-09-30,Lithium_Hydroxide,US_East,660,15,2,FALSE
2024-09-30,Electrolyte,US_East,960,10,-2,FALSE
2024-10-01,Lithium_Carbonate,US_East,1550,20,1,TRUE
2024-10-01,Battery_Components,US_East,1210,15,1,TRUE
2024-10-01,Cathode_Materials,US_East,400,12,-3,TRUE
2024-10-01,Separator_Films,US_East,500,10,-5,TRUE
2024-10-01,Lithium_Hydroxide,US_East,650,20,1,TRUE
2024-10-01,Electrolyte,US_East,940,12,-3,TRUE
2024-10-02,Lithium_Carbonate,US_East,1500,20,0,TRUE
2024-10-02,Battery_Components,US_East,1190,15,0,TRUE
2024-10-02,Cathode_Materials,US_East,370,12,-4,TRUE
2024-10-02,Separator_Films,US_East,480,10,-6,TRUE
2024-10-02,Lithium_Hydroxide,US_East,640,20,0,TRUE
2024-10-02,Electrolyte,US_East,920,12,-4,TRUE
2024-10-03,Lithium_Carbonate,US_East,1450,20,-1,TRUE
2024-10-03,Battery_Components,US_East,1170,15,-1,TRUE
2024-10-03,Cathode_Materials,US_East,340,12,-5,TRUE
2024-10-03,Separator_Films,US_East,460,10,-7,TRUE
2024-10-03,Lithium_Hydroxide,US_East,630,20,-1,TRUE
2024-10-03,Electrolyte,US_East,900,12,-5,TRUE
2024-10-04,Lithium_Carbonate,US_East,1400,20,-2,TRUE
2024-10-04,Battery_Components,US_East,1150,15,-2,TRUE
2024-10-04,Cathode_Materials,US_East,310,12,-6,TRUE
2024-10-04,Separator_Films,US_East,440,10,-8,TRUE
2024-10-04,Lithium_Hydroxide,US_East,620,20,-2,TRUE
2024-10-04,Electrolyte,US_East,880,12,-6,TRUE
2024-10-05,Lithium_Carbonate,US_East,1350,20,-3,TRUE
2024-10-05,Battery_Components,US_East,1130,15,-3,TRUE
2024-10-05,Cathode_Materials,US_East,280,12,-7,TRUE
2024-10-05,Separator_Films,US_East,420,10,-9,TRUE
2024-10-05,Lithium_Hydroxide,US_East,610,20,-3,TRUE
2024-10-05,Electrolyte,US_East,860,12,-7,TRUE
2024-10-06,Lithium_Carbonate,US_East,1550,25,2,TRUE
2024-10-06,Battery_Components,US_East,1280,18,2,TRUE
2024-10-06,Cathode_Materials,US_East,380,15,-2,TRUE
2024-10-06,Separator_Films,US_East,520,12,-4,TRUE
2024-10-06,Lithium_Hydroxide,US_East,710,25,2,TRUE
2024-10-06,Electrolyte,US_East,960,15,-2,TRUE
2024-10-07,Lithium_Carbonate,US_East,1500,25,1,TRUE
2024-10-07,Battery_Components,US_East,1260,18,1,TRUE
2024-10-07,Cathode_Materials,US_East,350,15,-3,TRUE
2024-10-07,Separator_Films,US_East,500,12,-5,TRUE
2024-10-07,Lithium_Hydroxide,US_East,700,25,1,TRUE
2024-10-07,Electrolyte,US_East,940,15,-3,TRUE
2024-10-08,Lithium_Carbonate,US_East,1450,25,0,TRUE
2024-10-08,Battery_Components,US_East,1240,18,0,TRUE
2024-10-08,Cathode_Materials,US_East,320,15,-4,TRUE
2024-10-08,Separator_Films,US_East,480,12,-6,TRUE
2024-10-08,Lithium_Hydroxide,US_East,690,25,0,TRUE
2024-10-08,Electrolyte,US_East,920,15,-4,TRUE
2024-10-09,Lithium_Carbonate,US_East,1400,25,-1,TRUE
2024-10-09,Battery_Components,US_East,1220,18,-1,TRUE
2024-10-09,Cathode_Materials,US_East,290,15,-5,TRUE
2024-10-09,Separator_Films,US_East,460,12,-7,TRUE
2024-10-09,Lithium_Hydroxide,US_East,680,25,-1,TRUE
2024-10-09,Electrolyte,US_East,900,15,-5,TRUE
2024-10-10,Lithium_Carbonate,US_East,1350,25,-2,TRUE
2024-10-10,Battery_Components,US_East,1200,18,-2,TRUE
2024-10-10,Cathode_Materials,US_East,260,15,-6,TRUE
2024-10-10,Separator_Films,US_East,440,12,-8,TRUE
2024-10-10,Lithium_Hydroxide,US_East,670,25,-2,TRUE
2024-10-10,Electrolyte,US_East,880,15,-6,TRUE
2024-10-11,Lithium_Carbonate,US_East,1600,25,3,TRUE
2024-10-11,Battery_Components,US_East,1350,18,3,TRUE
2024-10-11,Cathode_Materials,US_East,360,15,-1,TRUE
2024-10-11,Separator_Films,US_East,540,12,-3,TRUE
2024-10-11,Lithium_Hydroxide,US_East,770,25,3,TRUE
2024-10-11,Electrolyte,US_East,980,15,-1,TRUE
2024-10-12,Lithium_Carbonate,US_East,1550,25,2,TRUE
2024-10-12,Battery_Components,US_East,1330,18,2,TRUE
2024-10-12,Cathode_Materials,US_East,330,15,-2,TRUE
2024-10-12,Separator_Films,US_East,520,12,-4,TRUE
2024-10-12,Lithium_Hydroxide,US_East,760,25,2,TRUE
2024-10-12,Electrolyte,US_East,960,15,-2,TRUE
2024-10-13,Lithium_Carbonate,US_East,1500,25,1,TRUE
2024-10-13,Battery_Components,US_East,1310,18,1,TRUE
2024-10-13,Cathode_Materials,US_East,300,15,-3,TRUE
2024-10-13,Separator_Films,US_East,500,12,-5,TRUE
2024-10-13,Lithium_Hydroxide,US_East,750,25,1,TRUE
2024-10-13,Electrolyte,US_East,940,15,-3,TRUE
