date,shipment_id,material_origin,processing_location,fta_compliant,china_content_ratio,compliance_status
2024-08-20,SH040,Australia,Canada,TRUE,0.15,Compliant
2024-08-21,SH041,China,China,FALSE,0.91,Non_Compliant
2024-08-21,SH042,Chile,Canada,TRUE,0.27,Compliant
2024-08-22,SH043,China,China,FALSE,0.85,Non_Compliant
2024-08-22,SH044,Chile,China,FALSE,0.80,Non_Compliant
2024-08-23,SH045,Australia,Canada,TRUE,0.12,Compliant
2024-08-23,SH046,China,China,FALSE,0.93,Non_Compliant
2024-08-24,SH047,Chile,China,FALSE,0.82,Non_Compliant
2024-08-24,SH048,Australia,Canada,TRUE,0.18,Compliant
2024-08-25,SH049,Chile,Canada,TRUE,0.25,Compliant
2024-08-25,SH050,China,China,FALSE,0.87,Non_Compliant
2024-08-26,SH051,Chile,China,FALSE,0.79,Non_Compliant
2024-08-26,SH052,Australia,Canada,TRUE,0.16,Compliant
2024-08-27,SH053,China,China,FALSE,0.90,Non_Compliant
2024-08-27,SH054,Chile,Canada,TRUE,0.28,Compliant
2024-08-28,SH055,China,China,FALSE,0.88,Non_Compliant
2024-08-28,SH056,Chile,China,FALSE,0.81,Non_Compliant
2024-08-29,SH057,Australia,Canada,TRUE,0.14,Compliant
2024-08-29,SH058,China,China,FALSE,0.94,Non_Compliant
2024-08-30,SH059,Chile,China,FALSE,0.83,Non_Compliant
2024-08-30,SH060,Australia,Canada,TRUE,0.21,Compliant
2024-08-31,SH061,Chile,Canada,TRUE,0.24,Compliant
2024-08-31,SH062,China,China,FALSE,0.86,Non_Compliant
2024-09-01,SH063,Chile,China,FALSE,0.78,Non_Compliant
2024-09-01,SH064,Australia,Canada,TRUE,0.17,Compliant
2024-09-02,SH065,China,China,FALSE,0.92,Non_Compliant
2024-09-02,SH066,Chile,Canada,TRUE,0.26,Compliant
2024-09-03,SH067,China,China,FALSE,0.89,Non_Compliant
2024-09-03,SH068,Chile,China,FALSE,0.80,Non_Compliant
2024-09-04,SH069,Australia,Canada,TRUE,0.13,Compliant
2024-09-04,SH070,China,China,FALSE,0.91,Non_Compliant
2024-09-05,SH071,Chile,China,FALSE,0.84,Non_Compliant
2024-09-05,SH072,Australia,Canada,TRUE,0.19,Compliant
2024-09-06,SH073,Chile,Canada,TRUE,0.22,Compliant
2024-09-06,SH074,China,China,FALSE,0.87,Non_Compliant
2024-09-07,SH075,Chile,China,FALSE,0.77,Non_Compliant
2024-09-07,SH076,Australia,Canada,TRUE,0.15,Compliant
2024-09-08,SH077,China,China,FALSE,0.93,Non_Compliant
2024-09-08,SH078,Chile,Canada,TRUE,0.29,Compliant
2024-09-09,SH079,China,China,FALSE,0.85,Non_Compliant
2024-09-09,SH080,Chile,China,FALSE,0.81,Non_Compliant
2024-09-10,SH081,Australia,Canada,TRUE,0.11,Compliant
2024-09-10,SH082,China,China,FALSE,0.90,Non_Compliant
2024-09-11,SH083,Chile,China,FALSE,0.82,Non_Compliant
2024-09-11,SH084,Australia,Canada,TRUE,0.18,Compliant
2024-09-12,SH085,Chile,Canada,TRUE,0.27,Compliant
2024-09-12,SH086,China,China,FALSE,0.88,Non_Compliant
2024-09-13,SH087,Chile,China,FALSE,0.79,Non_Compliant
2024-09-13,SH088,Australia,Canada,TRUE,0.16,Compliant
2024-09-14,SH089,China,China,FALSE,0.94,Non_Compliant
2024-09-14,SH090,Chile,Canada,TRUE,0.25,Compliant
2024-09-15,SH091,China,China,FALSE,0.86,Non_Compliant
2024-09-15,SH092,Chile,China,FALSE,0.83,Non_Compliant
2024-09-16,SH093,Australia,Canada,TRUE,0.14,Compliant
2024-09-16,SH094,China,China,FALSE,0.91,Non_Compliant
2024-09-17,SH095,Chile,China,FALSE,0.80,Non_Compliant
2024-09-17,SH096,Australia,Canada,TRUE,0.20,Compliant
2024-09-18,SH097,Chile,Canada,TRUE,0.23,Compliant
2024-09-18,SH098,China,China,FALSE,0.89,Non_Compliant
2024-09-19,SH099,Chile,China,FALSE,0.78,Non_Compliant
2024-09-19,SH100,Australia,Canada,TRUE,0.17,Compliant
2024-09-20,SH101,China,China,FALSE,0.92,Non_Compliant
2024-09-20,SH102,Chile,Canada,TRUE,0.28,Compliant
2024-09-21,SH103,China,China,FALSE,0.87,Non_Compliant
2024-09-21,SH104,Chile,China,FALSE,0.81,Non_Compliant
2024-09-22,SH105,Australia,Canada,TRUE,0.12,Compliant
2024-09-22,SH106,China,China,FALSE,0.93,Non_Compliant
2024-09-23,SH107,Chile,China,FALSE,0.84,Non_Compliant
2024-09-23,SH108,Australia,Canada,TRUE,0.19,Compliant
2024-09-24,SH109,Chile,Canada,TRUE,0.26,Compliant
2024-09-24,SH110,China,China,FALSE,0.88,Non_Compliant
2024-09-25,SH111,Chile,China,FALSE,0.77,Non_Compliant
2024-09-25,SH112,Australia,Canada,TRUE,0.15,Compliant
2024-09-26,SH113,China,China,FALSE,0.90,Non_Compliant
2024-09-26,SH114,Chile,Canada,TRUE,0.24,Compliant
2024-09-27,SH115,China,China,FALSE,0.85,Non_Compliant
2024-09-27,SH116,Chile,China,FALSE,0.82,Non_Compliant
2024-09-28,SH117,Australia,Canada,TRUE,0.13,Compliant
2024-09-28,SH118,China,China,FALSE,0.94,Non_Compliant
2024-09-29,SH119,Chile,China,FALSE,0.79,Non_Compliant
2024-09-29,SH120,Australia,Canada,TRUE,0.21,Compliant
2024-09-30,SH121,Chile,Canada,TRUE,0.27,Compliant
2024-09-30,SH122,China,China,FALSE,0.86,Non_Compliant
2024-10-01,SH123,China,China,FALSE,0.96,Non_Compliant
2024-10-01,SH124,China,China,FALSE,0.94,Non_Compliant
2024-10-01,SH125,China,China,FALSE,0.98,Non_Compliant
2024-10-02,SH126,China,China,FALSE,0.97,Non_Compliant
2024-10-02,SH127,China,China,FALSE,0.95,Non_Compliant
2024-10-02,SH128,China,China,FALSE,0.93,Non_Compliant
2024-10-03,SH129,China,China,FALSE,0.99,Non_Compliant
2024-10-03,SH130,China,China,FALSE,0.96,Non_Compliant
2024-10-03,SH131,China,China,FALSE,0.92,Non_Compliant
2024-10-04,SH132,China,China,FALSE,0.94,Non_Compliant
2024-10-04,SH133,China,China,FALSE,0.97,Non_Compliant
2024-10-04,SH134,China,China,FALSE,0.91,Non_Compliant
2024-10-05,SH135,China,China,FALSE,0.98,Non_Compliant
2024-10-05,SH136,China,China,FALSE,0.95,Non_Compliant
2024-10-05,SH137,China,China,FALSE,0.93,Non_Compliant
2024-10-06,SH138,China,China,FALSE,0.96,Non_Compliant
2024-10-06,SH139,China,China,FALSE,0.94,Non_Compliant
2024-10-06,SH140,China,China,FALSE,0.92,Non_Compliant
2024-10-07,SH141,China,China,FALSE,0.97,Non_Compliant
2024-10-07,SH142,China,China,FALSE,0.99,Non_Compliant
2024-10-07,SH143,China,China,FALSE,0.91,Non_Compliant
2024-10-08,SH144,China,China,FALSE,0.95,Non_Compliant
2024-10-08,SH145,China,China,FALSE,0.93,Non_Compliant
2024-10-08,SH146,China,China,FALSE,0.98,Non_Compliant
2024-10-09,SH147,China,China,FALSE,0.96,Non_Compliant
2024-10-09,SH148,China,China,FALSE,0.94,Non_Compliant
2024-10-09,SH149,China,China,FALSE,0.92,Non_Compliant
2024-10-10,SH150,China,China,FALSE,0.97,Non_Compliant
2024-10-10,SH151,China,China,FALSE,0.95,Non_Compliant
2024-10-10,SH152,China,China,FALSE,0.99,Non_Compliant
2024-10-11,SH153,China,China,FALSE,0.93,Non_Compliant
2024-10-11,SH154,China,China,FALSE,0.96,Non_Compliant
2024-10-11,SH155,China,China,FALSE,0.91,Non_Compliant
2024-10-12,SH156,China,China,FALSE,0.98,Non_Compliant
2024-10-12,SH157,China,China,FALSE,0.94,Non_Compliant
2024-10-12,SH158,China,China,FALSE,0.92,Non_Compliant
2024-10-13,SH159,China,China,FALSE,0.97,Non_Compliant
2024-10-13,SH160,China,China,FALSE,0.95,Non_Compliant
2024-10-13,SH161,China,China,FALSE,0.93,Non_Compliant
2024-10-14,SH162,China,China,FALSE,0.99,Non_Compliant
2024-10-14,SH163,China,China,FALSE,0.96,Non_Compliant
2024-10-14,SH164,China,China,FALSE,0.91,Non_Compliant
2024-10-15,SH165,China,China,FALSE,0.94,Non_Compliant
2024-10-15,SH166,China,China,FALSE,0.98,Non_Compliant
2024-10-15,SH167,China,China,FALSE,0.92,Non_Compliant
2024-10-16,SH168,China,China,FALSE,0.97,Non_Compliant
2024-10-16,SH169,China,China,FALSE,0.95,Non_Compliant
2024-10-16,SH170,China,China,FALSE,0.93,Non_Compliant
2024-10-17,SH171,China,China,FALSE,0.96,Non_Compliant
2024-10-17,SH172,China,China,FALSE,0.99,Non_Compliant
2024-10-17,SH173,China,China,FALSE,0.91,Non_Compliant
2024-10-18,SH174,China,China,FALSE,0.98,Non_Compliant
2024-10-18,SH175,China,China,FALSE,0.94,Non_Compliant
2024-10-18,SH176,China,China,FALSE,0.92,Non_Compliant
2024-10-19,SH177,China,China,FALSE,0.97,Non_Compliant
2024-10-19,SH178,China,China,FALSE,0.95,Non_Compliant
2024-10-19,SH179,China,China,FALSE,0.96,Non_Compliant
2024-10-20,SH180,China,China,FALSE,0.99,Non_Compliant
2024-10-20,SH181,China,China,FALSE,0.93,Non_Compliant
2024-10-20,SH182,China,China,FALSE,0.91,Non_Compliant
2024-10-21,SH183,China,China,FALSE,0.98,Non_Compliant
2024-10-21,SH184,China,China,FALSE,0.94,Non_Compliant
2024-10-21,SH185,China,China,FALSE,0.92,Non_Compliant
2024-10-22,SH186,China,China,FALSE,0.97,Non_Compliant
2024-10-22,SH187,China,China,FALSE,0.95,Non_Compliant
2024-10-22,SH188,China,China,FALSE,0.96,Non_Compliant
2024-10-23,SH189,China,China,FALSE,0.93,Non_Compliant
2024-10-23,SH190,China,China,FALSE,0.99,Non_Compliant
2024-10-23,SH191,China,China,FALSE,0.91,Non_Compliant
2024-10-24,SH192,China,China,FALSE,0.98,Non_Compliant
2024-10-24,SH193,China,China,FALSE,0.94,Non_Compliant
2024-10-24,SH194,China,China,FALSE,0.92,Non_Compliant
2024-10-25,SH195,China,China,FALSE,0.97,Non_Compliant
2024-10-25,SH196,China,China,FALSE,0.95,Non_Compliant
2024-10-25,SH197,China,China,FALSE,0.96,Non_Compliant
2024-10-26,SH198,China,China,FALSE,0.99,Non_Compliant
2024-10-26,SH199,China,China,FALSE,0.93,Non_Compliant
2024-10-26,SH200,China,China,FALSE,0.91,Non_Compliant
