date,customer_id,order_id,requested_delivery,actual_delivery,status,order_value_usd,penalty_applied
2024-10-08,CUST_BMW,ORD_B023,2024-11-04,2024-12-02,Delayed,420000,TRUE
2024-10-09,CUST_VW,ORD_V023,2024-11-05,2024-12-04,Delayed,470000,TRUE
2024-10-09,CUST_GM,ORD_G024,2024-11-06,2024-12-06,Delayed,530000,TRUE
2024-10-10,CUST_FORD,ORD_F024,2024-11-07,2024-12-08,Delayed,360000,TRUE
2024-10-10,CUST_TESLA,ORD_T025,2024-11-08,2024-12-10,Delayed,780000,TRUE
2024-10-11,CUST_HYUNDAI,ORD_H024,2024-11-09,2024-12-12,Delayed,310000,TRUE
2024-10-11,CUST_BMW,ORD_B024,2024-11-10,2024-12-14,Delayed,410000,TRUE
2024-10-12,CUST_VW,ORD_V024,2024-11-11,2024-12-16,Delayed,480000,TRUE
2024-10-12,CUST_GM,ORD_G025,2024-11-12,2024-12-18,Delayed,540000,TRUE
2024-10-13,CUST_FORD,ORD_F025,2024-11-13,NULL,Pending,340000,FALSE
2024-10-13,CUST_TESLA,ORD_T026,2024-11-14,NULL,Pending,860000,FALSE
2024-10-14,CUST_HYUNDAI,ORD_H025,2024-11-15,NULL,Pending,320000,FALSE
2024-10-14,CUST_BMW,ORD_B025,2024-11-16,NULL,Pending,430000,FALSE
2024-10-15,CUST_VW,ORD_V025,2024-11-17,NULL,Pending,490000,FALSE
2024-10-15,CUST_GM,ORD_G026,2024-11-18,NULL,Pending,520000,FALSE
2024-10-16,CUST_FORD,ORD_F026,2024-11-19,NULL,Pending,350000,FALSE
2024-10-16,CUST_TESLA,ORD_T027,2024-11-20,NULL,Pending,840000,FALSE
2024-10-17,CUST_HYUNDAI,ORD_H026,2024-11-21,NULL,Pending,300000,FALSE
2024-10-17,CUST_BMW,ORD_B026,2024-11-22,NULL,Pending,420000,FALSE
2024-10-18,CUST_VW,ORD_V026,2024-11-23,NULL,Pending,470000,FALSE
2024-10-18,CUST_GM,ORD_G027,2024-11-24,NULL,Pending,530000,FALSE
2024-10-19,CUST_FORD,ORD_F027,2024-11-25,NULL,Pending,360000,FALSE
2024-10-19,CUST_TESLA,ORD_T028,2024-11-26,NULL,Pending,780000,FALSE
2024-10-20,CUST_HYUNDAI,ORD_H027,2024-11-27,NULL,Pending,310000,FALSE
2024-10-20,CUST_BMW,ORD_B027,2024-11-28,NULL,Pending,410000,FALSE
2024-10-21,CUST_VW,ORD_V027,2024-11-29,NULL,Pending,480000,FALSE
2024-10-21,CUST_GM,ORD_G028,2024-11-30,NULL,Pending,540000,FALSE
2024-10-22,CUST_FORD,ORD_F028,2024-12-01,NULL,Pending,340000,FALSE
2024-10-22,CUST_TESLA,ORD_T029,2024-12-02,NULL,Pending,860000,FALSE
2024-10-23,CUST_HYUNDAI,ORD_H028,2024-12-03,NULL,Pending,320000,FALSE
2024-10-23,CUST_BMW,ORD_B028,2024-12-04,NULL,Pending,430000,FALSE
2024-10-24,CUST_VW,ORD_V028,2024-12-05,NULL,Pending,490000,FALSE
2024-10-24,CUST_GM,ORD_G029,2024-12-06,NULL,Pending,520000,FALSE
2024-10-25,CUST_FORD,ORD_F029,2024-12-07,NULL,Pending,350000,FALSE
2024-10-25,CUST_TESLA,ORD_T030,2024-12-08,NULL,Pending,840000,FALSE
2024-10-26,CUST_HYUNDAI,ORD_H029,2024-12-09,NULL,Pending,300000,FALSE
2024-10-26,CUST_BMW,ORD_B029,2024-12-10,NULL,Pending,420000,FALSE
