input,intent_name
신용카드 취소 제대로 됐나요,cs_cncl
신용카드 취소 잘 됐는지 좀 봐주세요,cs_cncl
내 카드 취소 내역 확인 좀,cs_cncl
카드 취소한 내역 확인 좀,cs_cncl
언제 취소 되는지 알려줘 신용카드,cs_cncl
카드 취소 언제 돼,cs_cncl
카드 언제 취소 되는지 알려줘,cs_cncl
신용카드 제대로 취소됐는지 좀 봐줘,cs_cncl
카드 취소 되는 데에 얼마나 걸려요,cs_cncl
취소완료 된건은 언제 카드 취소 되나요,cs_cncl
신용카드니까 취소하면 한도복원 되는 거 맞죠,cs_cncl
꼭 좀 회수 부탁드립니다,cs_how_exch_rtgs_etc
회수 너무 오래 걸리네요,cs_how_exch_rtgs_etc
회수 처리 잘 되었나요,cs_how_exch_rtgs_etc
밖에 뒀는데 안가져가네요,cs_how_exch_rtgs_etc
물건 회수 해갔고 일정 알려주세요,cs_how_exch_rtgs_etc
물건 회수 해갔는데 상품 언제 받을 수 있는지 알려주세요,cs_how_exch_rtgs_etc
반품회수 일정 알려주세요,cs_how_exch_rtgs_etc
반품회수 언제 가져가요,cs_how_exch_rtgs_etc
반품회수 언제 되나요,cs_how_exch_rtgs_etc
회수지연 어떻게 해요,cs_how_exch_rtgs_etc
회수지연인데요,cs_how_exch_rtgs_etc
회수지연 중이에요,cs_how_exch_rtgs_etc
반품접수 했는데 아직 회수가 안 되고 있네요,cs_how_exch_rtgs_etc
반품수거도 안하고 아무 연락도 없어요,cs_how_exch_rtgs_etc
반품 접수한지가 한참인데 왜 아직 회수를 안 해가시나요,cs_how_exch_rtgs_etc
반품요청했는데 회수되지 않았습니다,cs_how_exch_rtgs_etc
교환회수 신청 한번 더 부탁드립니다,cs_how_exch_rtgs_etc
반품회수 신청 한번 더 부탁드립니다,cs_how_exch_rtgs_etc
반품요청한지 꽤 됐는데 아직도 회수가 안되고 있어요,cs_how_exch_rtgs_etc
회수가 안되고 있어요,cs_how_exch_rtgs_etc
수거진행이 안되는것 같습니다,cs_how_exch_rtgs_etc
오늘 3일째인데 수거가 안되네요,cs_how_exch_rtgs_etc
수거 언제 되나요,cs_how_exch_rtgs_etc
아직까지 회수를 해가지 않아요,cs_how_exch_rtgs_etc
수거를 하지 않네요,cs_how_exch_rtgs_etc
재수거 요청드립니다,cs_how_exch_rtgs_etc
수거진행 안되서요 진행부탁드립니다,cs_how_exch_rtgs_etc
재수거 접수하고 싶어요,cs_how_exch_rtgs_etc
회수 얼마나 걸리는데요,cs_how_exch_rtgs_etc
회수하는데 얼마나 걸릴까요,cs_how_exch_rtgs_etc
수거는 언제 하나요,cs_how_exch_rtgs_etc
회수가 왜 이루어지지 않는지 궁금합니다,cs_how_exch_rtgs_etc
판매자가 회수를 안해가고 있습니다,cs_how_exch_rtgs_etc
회수 신속하게 진행해주십시오,cs_how_exch_rtgs_etc
수거가 언제되나요,cs_how_exch_rtgs_etc
언제쯤 수거가 가능할까요,cs_how_exch_rtgs_etc
회수를 언제 해 가시는지 궁금합니다,cs_how_exch_rtgs_etc
수거가 늦네요,cs_how_exch_rtgs_etc
수거가 안되고 있어요,cs_how_exch_rtgs_etc
수거가 안되고 있습니다,cs_how_exch_rtgs_etc
수거 기사님이 안오십니다,cs_how_exch_rtgs_etc
택배에서 회수를 하러 안오네요,cs_how_exch_rtgs_etc
회수가 되지 않아 문의드려요,cs_how_exch_rtgs_etc
도대체 언제 수거합니까,cs_how_exch_rtgs_etc
회수해주세요,cs_how_exch_rtgs_etc
재회수 요청합니다,cs_how_exch_rtgs_etc
회수 신청은 어떻게 하는건가요,cs_how_exch_rtgs_etc
왜 회수 안해가요,cs_how_exch_rtgs_etc
언제 회수해요,cs_how_exch_rtgs_etc
택배사에서 회수해가지않고 있습니다,cs_how_exch_rtgs_etc
배송을 한번에 같이 해주실순 없나요,cs_how_inst
한 포장으로 같이 오나요,cs_how_inst
따로 주문했는데 같이 보내주세요,cs_how_inst
따로따로 주문했는데 같이 보내주세요,cs_how_inst
주문 2번 했는데요 같이 묶어서 배송해주시는 거 맞나요,cs_how_inst
같이 합배송 가능한가요,cs_how_inst
한번에 같이 합포장해서 보내주세요,cs_how_inst
합배송 요청합니다,cs_how_inst
추가 합배송 되나요,cs_how_inst
주문한 것을 합배송받고싶어요,cs_how_inst
지금 합배송 신청되나요,cs_how_inst
합배송 문의,cs_how_inst
물건을 합배송할 수 있는지 문의하려고 합니다,cs_how_inst
주문한 상품들을 한 번에 받을 수 있는지 알고 싶어요,cs_how_inst
합배송이 가능한지 여쭤보고 싶어요,cs_how_inst
여러 상품을 함께 받을 수 있는지 궁금해요,cs_how_inst
주문한 물건들을 한 번에 받을 수 있는지 확인하고 싶어요,cs_how_inst
상품들을 합쳐서 배송 가능한지 물어보려고 합니다,cs_how_inst
합배송으로 주문한 물건들을 받을 수 있는지 알려주세요,cs_how_inst
주문한 상품들을 모아서 받을 수 있는 방법이 있는지 알려주세요,cs_how_inst
여러 상품을 한 번에 받을 수 있는지 확인하려고 합니다,cs_how_inst
주문한 물건들을 합배송할 수 있는지 여쭤보고 싶어요,cs_how_inst
상품들을 합배송해서 받을 수 있는지 알려주세요,cs_how_inst
합배송으로 주문한 물건들을 받을 수 있는지 궁금해요,cs_how_inst
주문한 상품들을 한 번에 받을 수 있는 방법이 있는지 알려주세요,cs_how_inst
여러 상품을 함께 받을 수 있는지 확인하고 싶어요,cs_how_inst
상품들을 합쳐서 배송 가능한지 알려주세요,cs_how_inst
합배송으로 주문한 물건들을 받을 수 있는지 알려주세요,cs_how_inst
주문한 상품들을 모아서 받을 수 있는 방법이 있는지 알려주세요,cs_how_inst
여러 상품을 한 번에 받을 수 있는지 확인하려고 합니다,cs_how_inst
주문한 물건들을 합배송할 수 있는지 여쭤보고 싶어요,cs_how_inst
상품들을 합배송해서 받을 수 있는지 알려주세요,cs_how_inst
합배송이 안돼요,cs_how_inst
모두 합배송 부탁드립니다,cs_how_inst
묶음배송 문의드립니다,cs_how_inst
묶음배송 부탁해요,cs_how_inst
묶음 배송이 지원되는지 확인하려고 합니다,cs_how_inst
주문한 상품들을 묶어서 배송 가능한지 여쭤보고 싶어요,cs_how_inst
묶음 배송이 가능한지 알고 싶어요,cs_how_inst
묶음 배송으로 상품들을 받을 수 있는지 확인하려고 합니다,cs_how_inst
주문한 상품들을 묶어서 받을 수 있는 방법이 있는지 확인하고 싶어요,cs_how_inst
상품들을 묶어서 함께 받을 수 있는지 궁금해요,cs_how_inst
롯데마트 주문했는데 빠뜨린게 있어서 추가로 주문하연 합배송 가능한가요,cs_how_inst
추가 주문한 상품을 기존 주문한 것과 함께 받을 수 있는지 여쭤보려고 합니다,cs_how_inst
이전에 주문한 상품과 추가 주문한 상품을 합쳐서 배송받을 수 있는지 알아보려고 합니다,cs_how_inst
추가 주문한 상품을 이전 주문한 상품과 함께 받을 수 있는지 여쭤보고 싶어요,cs_how_inst
합배송을 원해요,cs_how_inst
그냥 합포장 해주세요,cs_how_inst
주문상품 합배송 부탁드립니다,cs_how_inst
추가 주문시 합배송 될까요,cs_how_inst
새로운 배송지로 재배송 되나요,cs_how_reorder
새로운 주소로 재배송하려면 어떻게 해,cs_how_reorder
새로운 주소로 재배송 해줘,cs_how_reorder
"미인도 알림톡을 받았는데, 어떻게 해야 하죠?",cs_how_reorder
마트에서 온 미인도 알림톡에 대한 정보를 얻고 싶어요,cs_how_reorder
"배송 미인도 알림톡을 받았는데, 재배송 신청 방법이 어떻게 되나요",cs_how_reorder
재배송을 받으려면 어떤 절차를 따라야 하나요,cs_how_reorder
배송 미인도 알림톡으로 재배송을 받을 수 있는 방법을 알고 싶어요,cs_how_reorder
신규배송지로 바꿔서 재배송 받는 법,cs_how_reorder
새 주소로 재배송을 받기 위해 어디로 문의해야 할까요,cs_how_reorder
"배송 미인도 알림톡을 받았는데, 재배송을 위한 안내가 궁금해요",cs_how_reorder
새 주소로 재배송을 받기 위한 절차가 궁금합니다,cs_how_reorder
"배송 미인도 알림톡을 받았는데, 새로운 주소로 재배송 신청하는 방법을 알려주세요",cs_how_reorder
"배송 미인도 알림톡을 받았는데, 새로운 주소로 재배송 받는 절차나 방법을 알고 싶어요",cs_how_reorder
"배송 미인도 알림톡을 받았는데, 새로운 주소로 재배송 받고 싶어요",cs_how_reorder
신규 주소로 재배송을 받기 위해 어떤 절차를 밟아야 하나요,cs_how_reorder
재배송을 신규 주소로 받으려면 어떻게 해야 하나요,cs_how_reorder
신규 주소로 재배송을 받을 수 있는 방법이 있을까요,cs_how_reorder
재배송을 신규 주소로 받기 위한 절차나 방법을 알려주세요,cs_how_reorder
"신규 주소로 재배송을 받고자 하는데, 어떻게 해야 할까요",cs_how_reorder
신규주소로 재배송받는 방법에 대해 문의드립니다,cs_how_reorder
"재배송을 신규 주소로 받고자 할 때, 변경 절차가 어떻게 되는지 궁금합니다",cs_how_reorder
재배송을 신규 주소로 변경하려면 어디로 문의해야 하나요,cs_how_reorder
신규 주소로 재배송을 받으려면 어떻게 해야 하나요,cs_how_reorder
미인도 알림톡 받았는데 재배송 접수 안하면 어떻게 되나요,cs_how_reorder
미인도 알림톡이 왔는데 어떻게 해야돼요,cs_how_reorder
새로운 주소로 다시 배송받고 싶은데 어떻게 해야 돼,cs_how_reorder
새 주소로 재배송 받으려면 어떻게 하는거야,cs_how_reorder
이번에 새 주소로 재배송 신청하려면 뭘 해야 되죠,cs_how_reorder
새 주소로 다시 배송 받으려면 어떻게 해야돼,cs_how_reorder
새로운 주소로 다시 배송 받으려면 어떤 절차를 밟아야 하나요,cs_how_reorder
새로운 주소로 재배송을 받기 위한 절차를 자세히 알려주세요,cs_how_reorder
새로운 주소로 재배송을 받기 위해서는 어디로 문의해야 하나요,cs_how_reorder
재배송을 받기 위해 새로운 주소를 등록하는 방법을 자세히 알려주세요,cs_how_reorder
"미인도 알림톡을 받았는데, 재배송을 받기 위해 어떻게 해야 하죠",cs_how_reorder
"미인도 알림톡을 받은 상태인데, 재배송을 받으려면 어떻게 해야 할까요",cs_how_reorder
"미인도 알림톡을 받았는데, 재배송을 받기 위한 방법이 어떻게 되나요",cs_how_reorder
"미인도 알림톡을 받았는데, 재배송을 받고 싶으면 어떻게 해야 하나요",cs_how_reorder
미인도 알림톡을 받았습니다. 재배송을 받고자 하면 어떻게 해야 할까요,cs_how_reorder
재배송을 받으려면 미인도 알림톡을 받은 후 어떤 절차를 밟아야 할까요,cs_how_reorder
미인도 알림톡을 받은 상황에서 재배송을 신청하려면 어떻게 해야 하나요,cs_how_reorder
재배송을 요청하려면 미인도 알림톡을 통해서 가능한가요,cs_how_reorder
"미인도 알림톡을 받았는데, 재배송 신청하면 되나요",cs_how_reorder
"미인도 알림톡을 받았는데, 재배송 신청하는 방법이 뭐가 있나요",cs_how_reorder
"미인도 알림톡을 받았는데, 재배송을 요청하는 절차를 알 수 있을까요",cs_how_reorder
"재배송을 원하는데, 미인도 알림톡을 통해 신청할 수 있는지 알고 싶어요",cs_how_reorder
"미인도 알림톡을 받았는데, 재배송을 신청할 수 있는 방법이 있나요",cs_how_reorder
미인도 알림톡이 왔는데 이게 뭐야,cs_how_reorder
미인도 알림톡이 왔는데 어떻게 해야 되는지 알려줘,cs_how_reorder
미인도 알림톡이 도대체 뭐죠,cs_how_reorder
포인트 사용했는데 바로 복구 되나요,cs_how_rfd
주문취소입금,cs_how_rfd
환불요청했는데 언제 될까요,cs_how_rfd
반품 입금은 언제됩니까,cs_how_rfd
취소한 거 환불 언제 돼,cs_how_rfd
취소환불 언제 돼,cs_how_rfd
취소환불 언제 되는지 알려줘,cs_how_rfd
취소 환불 언제 돼요,cs_how_rfd
반품 환불 아직인가요,cs_how_rfd
반품한거 언제 환불해주나요,cs_how_rfd
매장 픽업 환불,cs_how_rfd
포인트사용했을 때 구매취소하면 다시받을수있나요,cs_how_rfd
취소환불금,cs_how_rfd
스마트픽 상품 환불해주세요,cs_how_rfd
스마트픽으로 주문한 상품을 환불받고 싶어,cs_how_rfd
스마트픽한 상품이 있는데 환불하고 싶어요,cs_how_rfd
"주문실패 되었다고 메시지 받았는데, 카카오페이 환불은 언제 돼요",cs_how_rfd
"주문은 취소됐는데, 비용은 언제 환불되나요",cs_how_rfd
주문 취소된 상품비용은 언제 환불돼요,cs_how_rfd
품절 시 환불,cs_how_rfd
환불계좌는 어디서 알아볼수있나요,cs_how_rfd
저의 환불계좌를 알고 싶습니다,cs_how_rfd
엘포인트로 주문한 거 환불,cs_how_rfd
반품 후 엘포인트,cs_how_rfd
환불처리언제되나요,cs_how_rfd
환불예치금,cs_how_rfd
환불금 조회,cs_how_rfd
환불금,cs_how_rfd
환불 언제 되나요 넘 오래 걸리네요,cs_how_rfd
사용한 L포인트 다시 적립되나요,cs_how_rfd
환불은 언제 되는거죠,cs_how_rfd
포인트를 복구시켜주세요,cs_how_rfd
포인트 복구해주세요,cs_how_rfd
반품을 시켰는데 환불처리가 늦어서 문의드립니다 환불은 언제쯤 될까요,cs_how_rfd
반품하고 돈은 언제 입금이죠,cs_how_rfd
주문취소 엘포인트,cs_how_rfd
입금은 언제되는건지요,cs_how_rfd
취소했는데 입금이 안되네요,cs_how_rfd
주문 취소 후 롯데포인트 재사용,cs_how_rfd
주문 취소하면 롯데포인트 다시 사용할 수 있어,cs_how_rfd
취소한 지가 언젠데 환불이 안 되는거야,cs_how_rfd
취소한 지 언젠데 환불이 안 돼,cs_how_rfd
환불되려면 며칠 걸려,cs_how_rfd
반품 언제 환불,cs_how_rfd
반품한 거 언제 환불 돼,cs_how_rfd
환불당일입금,cs_how_rfd
환불입금시간,cs_how_rfd
반품 취소환불언제되나요,cs_how_rfd
반품완료된 건 왜 환불안해요,cs_how_rfd
환불신청 어떻게 할 수 있나요,cs_how_rfd
내주변픽업이란,cs_how_smp
백화점방문하여 수령 원합니다,cs_how_smp
백화점 방문수령,cs_how_smp
백화점 방문 수령 원해요,cs_how_smp
상품은 언제 픽업 가능한가요,cs_how_smp
주문한 것 조금 일찍 수령은 안되나요,cs_how_smp
스마트픽 조금 일찍 수령은 안될까요,cs_how_smp
내일 12시15분 부터 수령 가능 하다고 되어있는데 조금 일찍 수령은 안되나요,cs_how_smp
픽업 메시지가 안 와요,cs_how_smp
교환권이 안와요,cs_how_smp
픽업 문자가 안 와요,cs_how_smp
픽업문자가 안와요,cs_how_smp
교환증,cs_how_smp
내주변픽업 도착일,cs_how_smp
상품은 도착했다는데 스마트픽 교환증이 안 와요,cs_how_smp
상품은 도착했다는데 스마트픽 쿠폰은 안 옵니다. 상품 픽업을 할수 없습니다,cs_how_smp
스마트픽 쿠폰이 안 와서 상품 픽업을 못 해요,cs_how_smp
스마트픽쿠폰이 없어서 상품 픽업을 할수 없습니다,cs_how_smp
스마트픽쿠폰은 안 옵니다,cs_how_smp
픽업 어떻게 진행하나요,cs_how_smp
교환권은 언제 주나요,cs_how_smp
교환권은 어디있나요,cs_how_smp
배송 완료되었는데 교환권이 안 와요,cs_how_smp
상품 교환권이 언제 뜨나요,cs_how_smp
교환권 미발송,cs_how_smp
상품교환권 언제 오나요,cs_how_smp
교환증이 안왔어요,cs_how_smp
픽업서비스는 없나요,cs_how_smp
스마트픽은 언제 픽업할 수 있나요,cs_how_smp
언제 교환권 발행해 주나요,cs_how_smp
스마트픽 늦게 가지러 가도 되나요,cs_how_smp
스마트픽 픽업기한,cs_how_smp
매장 픽업,cs_how_smp
내주변픽업,cs_how_smp
내주변 픽업,cs_how_smp
슈퍼 스마트픽,cs_how_smp
마트 스마트픽,cs_how_smp
스마트픽으로 주문하면 언제까지 가야하나요,cs_how_smp
스마트픽 상품은 언제까지 보관해주나요,cs_how_smp
픽업지점은 어떻게 설정해,cs_how_smp
픽업제품인데 언제픽업 가능한가요,cs_how_smp
언제 픽업 가능 한가요,cs_how_smp
담당지점에 배송완료라고뜨는데 교환권은 언제 발급되나요,cs_how_smp
픽업 가도 되나요,cs_how_smp
아직도 교환권이 안나오네요,cs_how_smp
퇴근할때 픽업가는 서비스,cs_how_smp
상품을 매장에서 바로 받을 수 있나요,cs_how_smp
픽업문의,cs_how_smp
결제하고 매장 내방 수령 가능할까요,cs_how_smp
직접수령문의,cs_how_smp
이제품도 2시까지 주문하면 당일 발송인가요,cs_mart_dlv
몇시 전까지 주문건에 대하여 당일 발송인가요,cs_mart_dlv
몇시 주문까지 당일 발송인가요,cs_mart_dlv
당일 발송 시간은 어디서 확인하나요,cs_mart_dlv
당일 발송이 가능한 주문 시간은 어디까지인가요,cs_mart_dlv
오늘 발송 가능한 주문을 받을 수 있는 시간은,cs_mart_dlv
당일 발송되는 마감 시간이 언제인가요,cs_mart_dlv
당일 발송 가능한 주문 시간은 어느 시간까지인지 알려주세요,cs_mart_dlv
오늘 주문한 건이 당일 발송되려면 언제까지 주문해야 하나요,cs_mart_dlv
당일 출고되는 주문을 위한 마감 시간이 언제인가요,cs_mart_dlv
당일 발송이 가능한 주문 시간에 대해 알려주세요,cs_mart_dlv
당일 출고를 원한다면 어느 시간까지 주문해야 하나요,cs_mart_dlv
당일 출고를 위해서는 몇 시까지 주문해야 하죠,cs_mart_dlv
당일 발송 마감 시간이 어떻게 되나요,cs_mart_dlv
"당일 발송을 원할 때, 주문 가능한 시간대는 어떻게 되나요",cs_mart_dlv
당일 출고를 위해서는 언제까지 주문을 해야 하나요,cs_mart_dlv
당일 발송 주문은 언제 마감되나요,cs_mart_dlv
몇 시까지 주문하면 당일 발송이 가능한가요,cs_mart_dlv
당일 발송을 위한 주문 마감 시간은 몇 시인가요,cs_mart_dlv
몇 시까지 주문하면 오늘 출고 가능한가요,cs_mart_dlv
몇 시까지 주문하면 당일 발송이 되나요,cs_mart_dlv
몇 시 이전에 주문하면 오늘 발송되는 건가요,cs_mart_dlv
몇 시까지 주문하면 당일 발송 처리가 되는지 알려주세요,cs_mart_dlv
몇 시까지 주문하면 당일 출고가 가능한지 알려주세요,cs_mart_dlv
몇 시까지 주문하면 당일 발송이 되는지 알 수 있을까요,cs_mart_dlv
몇 시까지 주문하면 당일 발송 처리가 되나요,cs_mart_dlv
당일 발송을 원한다면 몇 시까지 주문해야 하나요,cs_mart_dlv
당일 발송을 희망한다면 몇 시까지 주문하면 되나요,cs_mart_dlv
당일 발송을 원하면 몇 시까지 주문해야 하는지 궁금합니다,cs_mart_dlv
당일 발송을 원하면 몇 시까지 주문하면 되는 건가요,cs_mart_dlv
당일 발송 시간은 어디서 확인할 수 있나요,cs_mart_dlv
당일 발송되는 시간을 확인할 수 있는 곳이 어딘지 알려주세요,cs_mart_dlv
당일 발송 가능한 시간대를 어떻게 확인할 수 있을까요,cs_mart_dlv
당일 발송 가능한 시간이 언제인지 확인하고 싶어요,cs_mart_dlv
당일 발송이 가능한 시간대를 확인하는 방법을 알고 싶어요,cs_mart_dlv
어떤 시간까지 주문하면 오늘 출고가 가능한지 알려주세요,cs_mart_dlv
마트의 배송 가능한 일자와 시간을 알고 싶은데요 ,cs_mart_dlv
마트의 배송 일정과 가능한 배송 시간을 알 수 있는 방법이 있나요,cs_mart_dlv
어느 시간까지 주문해야 오늘 출고가 될까요,cs_mart_dlv
오늘 발송을 원한다면 언제까지 주문해야 하나요,cs_mart_dlv
오늘 발송을 위해서는 몇 시까지 주문해야 하죠,cs_mart_dlv
주문을 언제까지 해야 오늘 발송이 되나요,cs_mart_dlv
오늘 출고를 위한 주문 마감 시간은 언제인가요,cs_mart_dlv
주문을 어느 시간까지 해야 오늘 발송 처리가 되나요,cs_mart_dlv
주문을 언제까지 하면 오늘 발송이 가능한가요,cs_mart_dlv
오늘 발송을 위한 주문 시간은 언제까지인가요,cs_mart_dlv
주문을 언제까지 하면 오늘 발송이 되는지 확인하고 싶어요,cs_mart_dlv
마트의 배송 시간을 확인하고 싶어요,cs_mart_dlv
마트의 배송 가능 시간을 알려주세요,cs_mart_dlv
마트의 배송 시간대를 알아보고 싶습니다,cs_mart_dlv
출고랑 배송일정 확인하고 싶습니다,cs_qry_dlv
배송약정일이 한참 지났는데 아직 안 왔어요,cs_qry_dlv
도착 일정 자세하게 안내해주세요,cs_qry_dlv
배송이 계속 미뤄지는 거 같은데 확인 좀 부탁해요,cs_qry_dlv
출고가 언제쯤 될까요,cs_qry_dlv
주문한 제품 언제쯤 올까요,cs_qry_dlv
주문한제품 언제와요,cs_qry_dlv
주문한 제품이 언제 오나요,cs_qry_dlv
상품이 언제 오는지 궁금해요,cs_qry_dlv
주문한 제품 오늘 오는지 봐줘,cs_qry_dlv
주문한 상품 내일 도착할까요,cs_qry_dlv
언제 배송받을 수 있는지 궁금해요,cs_qry_dlv
주문한거 오늘 오는지 확인 좀 해줘요,cs_qry_dlv
지금 주문하면 언제쯤 받을 수 있나요,cs_qry_dlv
주문상품이 언제 오나요,cs_qry_dlv
주문제품 언제쯤 배송되나요,cs_qry_dlv
주문한 상품은 언제 받을 수 있을까요,cs_qry_dlv
주문한 상품은 언제 받을수있나요,cs_qry_dlv
제품이 언제 오나요,cs_qry_dlv
제품이 오늘은 오나요,cs_qry_dlv
언제 받을수있어요,cs_qry_dlv
발송일정 부탁드려요,cs_qry_dlv
배송정보 미제공이 뭐야,cs_qry_dlv
배송정보 미제공이 뭐에요,cs_qry_dlv
배송정보 미제공,cs_qry_dlv
택배사에서 받아놓고 움직이질 않네요,cs_qry_dlv
배송약속일 지연,cs_qry_dlv
배송약정일 지연,cs_qry_dlv
배송약정일이 지났어요,cs_qry_dlv
배송약정일이었는데 지연됐어요,cs_qry_dlv
배송중인데 송장조회가 안돼요,cs_qry_dlv
상품지연에 대한 답변요함,cs_qry_dlv
언제 출고가 될까요,cs_qry_dlv
어디쯤 왔나요,cs_qry_dlv
택배비 관련,cs_qry_dlv
구매제품 배송,cs_qry_dlv
상품 언제와요,cs_qry_dlv
송장흐름이 없어요,cs_qry_dlv
상품지연,cs_qry_dlv
롯데온 배송비,cs_qry_dlv
택배비가 있나요,cs_qry_dlv
택배비용이 얼마인가요,cs_qry_dlv
아직도 출발전이네요,cs_qry_dlv
자체배송 조회,cs_qry_dlv
자체배송은 조회를 어떻게 하나요,cs_qry_dlv
정기배송 추가 금액 발생하는 거 없죠,cs_qry_dlv
정기배송 추가해줘,cs_qry_dlv
정기배송 카드로만 결제가능해,cs_qry_dlv
정기배송 카드로만 결제할 수 있어,cs_qry_dlv
정기배송 할부 결제 가능한가요,cs_qry_dlv
해외직구로 산 거 보여줘,cs_qry_ord
해외주문 한 거 보여줘,cs_qry_ord
최근배송내역 삭제,cs_qry_ord
마지막으로 구매한 상품 뭐야,cs_qry_ord
가장 최근에 주문했던 상품 뭐야,cs_qry_ord
더스트 쇼핑백 같이 동봉되나요,cs_qry_ord
구입한 날짜와 정확한 상품명 확인 부탁드립니다.,cs_qry_ord
주문상세보기는 어디에 있나요,cs_qry_ord
오래전 주문내역 확인 가능한가요,cs_qry_ord
오래전 주문 조회,cs_qry_ord
모바일에서 오래전 주문 조회 어디서 하나요?,cs_qry_ord
모바일에서 구주문 조회 어디서 하나요?,cs_qry_ord
주문내역삭제했는데 삭제 취소하고 싶어요,cs_qry_ord
주문삭제 했는데 취소해주세요,cs_qry_ord
주문 내역 삭제 취소,cs_qry_ord
구입 내역,cs_qry_ord
구입 기록,cs_qry_ord
쇼핑백 동봉,cs_qry_ord
오늘 장본 거,cs_qry_ord
오늘 장 본 내역 알려줘,cs_qry_ord
장 본 내역,cs_qry_ord
