날짜,카테고리,제품,가격,수량,매출액,고객_세그먼트,마케팅_캠페인,마케팅_채널,고객_ID,성별,연령대
2023-05-31,생활용품,주방용품,41308.52020003788,3,123925.56060011363,신규 고객,시즌 세일,오프라인 광고,5548,남성,30대
2023-01-09,식품,육류,16025.504694903871,4,64102.018779615486,신규 고객,,오프라인 광고,5199,여성,30대
2023-04-22,식품,육류,7179.283805164167,5,35896.41902582083,일반 고객,,제휴 마케팅,9352,여성,10대
2024-02-02,화장품,헤어케어,59566.51923549892,9,536098.6731194903,신규 고객,제휴 마케팅,제휴 마케팅,9754,여성,30대
2023-01-27,생활용품,청소용품,39770.586203844556,3,119311.75861153367,충성 고객,,이메일,8683,남성,10대
2024-05-26,식품,유제품,24757.68763149322,4,99030.75052597288,일반 고객,신규 고객 할인,이메일,1699,남성,40대
2023-07-10,화장품,바디케어,32479.123748849786,3,97437.37124654936,일반 고객,,소셜 미디어,6442,여성,20대
2023-10-15,생활용품,주방용품,45917.71287798959,1,45917.71287798959,신규 고객,,소셜 미디어,6986,여성,10대
2024-02-12,화장품,헤어케어,78752.21843666743,7,551265.529056672,충성 고객,제휴 마케팅,오프라인 광고,7002,남성,40대
2023-12-20,생활용품,주방용품,31044.79274151538,1,31044.79274151538,충성 고객,,오프라인 광고,4051,여성,50대 이상
2023-04-13,전자제품,가전제품,289256.97554935893,3,867770.9266480769,신규 고객,,소셜 미디어,1635,여성,30대
2023-04-30,의류,신발,101559.78601908992,8,812478.2881527194,신규 고객,,소셜 미디어,1512,남성,20대
2023-04-06,식품,간식,21474.93949831044,1,21474.93949831044,일반 고객,,이메일,4147,여성,30대
2023-03-27,식품,간식,13497.67848917052,1,13497.67848917052,일반 고객,,제휴 마케팅,6881,여성,50대 이상
2023-04-10,생활용품,욕실용품,35662.43806466361,5,178312.19032331806,일반 고객,,오프라인 광고,3839,여성,20대
2024-05-11,전자제품,태블릿,588954.4531473196,5,2944772.265736598,일반 고객,신규 고객 할인,온라인 광고,6536,여성,20대
2023-02-12,전자제품,가전제품,331813.63744652795,5,1659068.1872326396,일반 고객,신규 고객 할인,온라인 광고,9967,남성,20대
2024-02-22,의류,상의,105394.64655847983,7,737762.5259093588,충성 고객,제휴 마케팅,온라인 광고,9867,여성,50대 이상
2024-04-01,의류,상의,40053.2507849925,5,200266.2539249625,일반 고객,,제휴 마케팅,4440,남성,50대 이상
2023-10-06,식품,육류,25403.589417271738,2,50807.178834543476,신규 고객,,온라인 광고,9082,여성,10대
2024-03-30,전자제품,이어폰,933077.0853676841,4,3732308.3414707365,일반 고객,,이메일,6588,여성,50대 이상
2023-05-31,식품,간식,29533.684526935067,8,236269.47621548054,일반 고객,시즌 세일,소셜 미디어,5846,여성,10대
2023-03-15,생활용품,욕실용품,22380.810366494887,2,44761.62073298977,신규 고객,,소셜 미디어,7938,여성,20대
2024-05-31,화장품,바디케어,55864.31716999841,2,111728.63433999682,충성 고객,신규 고객 할인,이메일,9905,여성,30대
2023-02-08,의류,액세서리,30853.613119181104,5,154268.06559590553,충성 고객,신규 고객 할인,온라인 광고,4072,남성,50대 이상
2023-12-14,식품,유제품,31642.98494844002,3,94928.95484532006,신규 고객,,이메일,7190,남성,10대
2024-06-09,식품,간식,18226.66306318988,3,54679.98918956964,VIP 고객,,오프라인 광고,8575,여성,50대 이상
2023-01-08,생활용품,욕실용품,44310.83126356252,1,44310.83126356252,일반 고객,,온라인 광고,6320,남성,50대 이상
2024-04-05,전자제품,가전제품,688976.4500851923,1,688976.4500851923,일반 고객,,소셜 미디어,8418,남성,50대 이상
2023-04-29,식품,음료,7328.416447105582,3,21985.249341316747,충성 고객,,제휴 마케팅,5000,여성,10대
2023-04-09,식품,간식,14491.756069108955,2,28983.51213821791,VIP 고객,,제휴 마케팅,8190,남성,50대 이상
2024-04-02,의류,상의,55980.01375241188,5,279900.06876205944,일반 고객,,오프라인 광고,8239,남성,20대
2023-09-07,생활용품,주방용품,19502.465465581383,1,19502.465465581383,일반 고객,,제휴 마케팅,7996,여성,20대
2023-03-16,의류,신발,125070.21901297466,6,750421.314077848,일반 고객,,온라인 광고,6115,여성,20대
2024-07-16,식품,간식,9876.402874228559,3,29629.208622685677,신규 고객,,제휴 마케팅,8941,남성,20대
2023-07-24,의류,아우터,37773.71044787507,7,264415.9731351255,신규 고객,,오프라인 광고,9472,남성,30대
2023-04-03,생활용품,청소용품,20653.61822588127,1,20653.61822588127,일반 고객,,제휴 마케팅,7981,남성,50대 이상
2023-08-21,전자제품,노트북,287376.36030502245,9,2586387.242745202,일반 고객,회원 전용 이벤트,이메일,3878,여성,50대 이상
2023-12-03,생활용품,욕실용품,24354.937727736342,2,48709.875455472684,VIP 고객,,소셜 미디어,9150,여성,20대
2023-12-31,생활용품,주방용품,15161.326597888314,1,15161.326597888314,일반 고객,,이메일,2906,남성,10대
2024-04-29,전자제품,노트북,508182.1500719549,3,1524546.4502158647,충성 고객,,오프라인 광고,7168,여성,20대
2023-03-08,식품,간식,11567.7988855055,1,11567.7988855055,일반 고객,,오프라인 광고,6401,여성,20대
2024-03-18,의류,액세서리,44199.200293024456,6,265195.20175814675,신규 고객,,오프라인 광고,7986,여성,10대
2023-08-31,화장품,헤어케어,61725.161627685855,4,246900.64651074342,신규 고객,회원 전용 이벤트,이메일,6560,여성,30대
2024-01-27,생활용품,주방용품,40560.38922722872,3,121681.16768168616,일반 고객,,온라인 광고,5208,여성,10대
2023-03-31,화장품,향수,68944.33338295034,5,344721.6669147517,신규 고객,,제휴 마케팅,3832,남성,30대
2024-07-03,의류,상의,29798.046448696154,2,59596.09289739231,충성 고객,,온라인 광고,3635,남성,30대
2024-05-27,전자제품,가전제품,824389.2503498918,5,4121946.251749459,VIP 고객,신규 고객 할인,온라인 광고,2065,남성,20대
2023-10-23,의류,액세서리,108721.16702715034,1,108721.16702715034,일반 고객,,소셜 미디어,2997,남성,30대
2023-02-08,의류,아우터,123677.9576666948,8,989423.6613335584,충성 고객,신규 고객 할인,오프라인 광고,3204,여성,10대
2023-04-07,화장품,바디케어,35485.87733079747,7,248401.1413155823,일반 고객,,소셜 미디어,7028,남성,40대
2023-08-04,전자제품,가전제품,483729.3017613443,7,3386105.1123294104,일반 고객,회원 전용 이벤트,이메일,3116,여성,30대
2023-09-11,생활용품,화장지,34979.147732573096,5,174895.73866286548,일반 고객,,오프라인 광고,4531,여성,40대
2023-11-20,화장품,바디케어,55142.53756349925,2,110285.0751269985,신규 고객,SNS 프로모션,온라인 광고,4072,남성,30대
2024-03-06,식품,간식,27479.80747875164,2,54959.61495750328,일반 고객,,소셜 미디어,8973,여성,20대
2024-04-19,생활용품,주방용품,18168.434847100085,3,54505.304541300255,신규 고객,,제휴 마케팅,6975,남성,10대
2023-10-12,의류,하의,135675.15293651362,1,135675.15293651362,일반 고객,,오프라인 광고,4701,여성,40대
2023-03-04,화장품,스킨케어,59795.99976575255,3,179387.99929725766,신규 고객,,제휴 마케팅,5524,남성,30대
2023-01-18,식품,음료,10281.800901716435,2,20563.60180343287,일반 고객,,오프라인 광고,7016,여성,50대 이상
2023-02-24,의류,하의,127609.5596887238,5,638047.798443619,일반 고객,,온라인 광고,6954,여성,30대
2023-11-24,식품,간식,12239.674222990352,1,12239.674222990352,충성 고객,SNS 프로모션,이메일,5547,여성,50대 이상
2023-07-01,화장품,메이크업,18395.421397167895,5,91977.10698583948,VIP 고객,,제휴 마케팅,7035,남성,20대
2024-01-21,의류,신발,52101.53318660881,7,364710.73230626166,충성 고객,,이메일,6619,여성,40대
2023-10-07,식품,채소,21747.426057254215,2,43494.85211450843,신규 고객,,소셜 미디어,9428,남성,10대
2023-10-05,의류,신발,131518.60477853773,4,526074.4191141509,VIP 고객,,제휴 마케팅,6475,남성,20대
2023-01-17,화장품,스킨케어,51790.9589248202,1,51790.9589248202,충성 고객,,소셜 미디어,7136,남성,20대
2024-02-05,생활용품,청소용품,38222.295541869215,1,38222.295541869215,VIP 고객,제휴 마케팅,온라인 광고,3866,남성,40대
2024-01-06,생활용품,청소용품,32680.87139985444,1,32680.87139985444,일반 고객,,제휴 마케팅,8479,남성,20대
2024-07-01,전자제품,태블릿,226084.7357236856,8,1808677.8857894847,일반 고객,,소셜 미디어,8617,남성,10대
2023-10-23,식품,과일,6189.682527925892,4,24758.730111703568,VIP 고객,,온라인 광고,1329,남성,10대
2023-01-12,의류,액세서리,79976.8940256834,2,159953.7880513668,신규 고객,,온라인 광고,6387,남성,30대
2024-05-03,화장품,메이크업,21784.039082480187,1,21784.039082480187,일반 고객,신규 고객 할인,제휴 마케팅,8686,남성,30대
2024-05-12,의류,액세서리,73571.00034920583,13,956423.0045396758,일반 고객,신규 고객 할인,온라인 광고,8693,남성,30대
2023-07-07,화장품,메이크업,34980.75202131083,5,174903.76010655414,일반 고객,,온라인 광고,8564,여성,10대
2023-01-16,화장품,메이크업,74002.11442600848,3,222006.34327802545,신규 고객,,제휴 마케팅,4810,남성,40대
2023-01-29,식품,간식,14736.829098432347,2,29473.658196864693,일반 고객,,제휴 마케팅,4760,남성,50대 이상
2023-05-22,생활용품,욕실용품,34770.367231640244,7,243392.57062148172,일반 고객,시즌 세일,오프라인 광고,2828,남성,50대 이상
2024-01-15,의류,액세서리,98458.04220907878,3,295374.1266272363,충성 고객,,소셜 미디어,8274,여성,10대
2023-08-06,식품,과일,14851.704348542107,7,103961.93043979476,일반 고객,회원 전용 이벤트,오프라인 광고,2913,남성,50대 이상
2024-05-04,의류,하의,50031.63106922096,1,50031.63106922096,신규 고객,신규 고객 할인,제휴 마케팅,2218,남성,20대
2023-11-28,생활용품,세제,23052.50530944884,1,23052.50530944884,일반 고객,SNS 프로모션,소셜 미디어,9228,여성,50대 이상
2023-04-24,화장품,바디케어,27239.471772152214,1,27239.471772152214,충성 고객,,이메일,3383,여성,40대
2023-12-19,의류,아우터,57700.14006451648,5,288500.7003225824,신규 고객,,이메일,3469,여성,50대 이상
2024-07-10,생활용품,세제,21480.252658743117,6,128881.51595245869,신규 고객,,소셜 미디어,6343,남성,30대
2023-04-23,식품,과일,12681.132670074017,3,38043.39801022205,신규 고객,,소셜 미디어,6352,여성,20대
2024-02-16,전자제품,가전제품,872806.002687411,5,4364030.013437055,일반 고객,제휴 마케팅,소셜 미디어,7353,여성,50대 이상
2023-08-15,전자제품,가전제품,638703.8096603894,6,3832222.8579623364,일반 고객,회원 전용 이벤트,소셜 미디어,4356,여성,10대
2023-04-09,화장품,스킨케어,30668.007712520903,3,92004.0231375627,일반 고객,,이메일,4778,남성,40대
2024-03-15,전자제품,가전제품,965257.2678381875,1,965257.2678381875,충성 고객,,제휴 마케팅,6626,남성,20대
2024-06-10,생활용품,청소용품,35473.05664564007,2,70946.11329128014,VIP 고객,,온라인 광고,6776,남성,50대 이상
2024-06-03,의류,하의,63778.44326869069,6,382670.6596121441,일반 고객,,온라인 광고,2875,여성,10대
2024-05-15,화장품,메이크업,67775.36839871545,3,203326.10519614635,일반 고객,신규 고객 할인,이메일,6420,남성,10대
2023-04-12,식품,육류,4798.871360924054,1,4798.871360924054,일반 고객,,오프라인 광고,3720,여성,20대
2023-01-02,식품,과일,18663.153990259525,3,55989.461970778575,일반 고객,,소셜 미디어,4041,여성,40대
2023-11-01,의류,액세서리,94659.1532377891,1,94659.1532377891,일반 고객,SNS 프로모션,소셜 미디어,9907,여성,20대
2023-11-14,전자제품,태블릿,279873.85448059626,5,1399369.2724029813,일반 고객,SNS 프로모션,온라인 광고,8867,여성,30대
2023-01-12,전자제품,가전제품,782555.24922009,5,3912776.24610045,충성 고객,,제휴 마케팅,3356,남성,30대
2024-07-02,식품,육류,19205.06219707613,6,115230.3731824568,충성 고객,,제휴 마케팅,3071,여성,50대 이상
2024-05-30,전자제품,이어폰,430658.12109295983,3,1291974.3632788796,일반 고객,신규 고객 할인,오프라인 광고,6631,여성,20대
2023-12-01,생활용품,욕실용품,24031.97572720723,4,96127.90290882892,일반 고객,,온라인 광고,4591,여성,20대
2024-06-09,생활용품,청소용품,14487.766275055808,1,14487.766275055808,일반 고객,,온라인 광고,4155,여성,10대
2023-01-28,생활용품,주방용품,23268.92725718461,1,23268.92725718461,충성 고객,,소셜 미디어,6724,여성,40대
2023-12-27,식품,간식,19613.682156625255,1,19613.682156625255,일반 고객,,오프라인 광고,4192,남성,50대 이상
2023-07-23,화장품,스킨케어,71188.5128939139,6,427131.0773634834,신규 고객,,소셜 미디어,1968,남성,50대 이상
2023-01-20,생활용품,청소용품,53284.578421878636,7,372992.04895315046,일반 고객,,온라인 광고,2229,여성,20대
2023-10-03,화장품,메이크업,73706.11807521658,3,221118.35422564973,신규 고객,,이메일,4249,남성,40대
2023-10-21,전자제품,가전제품,544459.7293157886,3,1633379.187947366,신규 고객,,제휴 마케팅,8519,여성,50대 이상
2024-05-09,생활용품,세제,43373.57453146483,5,216867.87265732416,충성 고객,신규 고객 할인,온라인 광고,1986,여성,10대
2023-01-01,의류,액세서리,48467.24075829381,2,96934.48151658762,VIP 고객,,온라인 광고,8848,남성,50대 이상
2023-06-08,식품,육류,20483.538892916924,5,102417.69446458462,일반 고객,,온라인 광고,3772,남성,10대
2023-03-17,생활용품,청소용품,43247.14535309939,2,86494.29070619878,일반 고객,,오프라인 광고,8010,여성,20대
2023-01-03,화장품,메이크업,37583.64709969612,1,37583.64709969612,일반 고객,,제휴 마케팅,9234,여성,20대
2023-12-30,의류,아우터,90801.35146999752,1,90801.35146999752,신규 고객,,이메일,5146,남성,40대
2023-05-21,의류,하의,67098.27270421204,8,536786.1816336963,일반 고객,시즌 세일,소셜 미디어,6539,여성,20대
2023-01-02,식품,간식,26048.161078136818,1,26048.161078136818,충성 고객,,제휴 마케팅,4654,남성,10대
2024-03-20,생활용품,욕실용품,21588.67319392345,1,21588.67319392345,신규 고객,,제휴 마케팅,7869,여성,10대
2023-01-26,식품,채소,16460.145276766092,3,49380.43583029827,일반 고객,,이메일,2316,여성,20대
2024-06-14,전자제품,이어폰,310959.1822058511,1,310959.1822058511,신규 고객,,오프라인 광고,2249,남성,50대 이상
2024-03-07,화장품,향수,23632.857772215448,2,47265.715544430896,일반 고객,,온라인 광고,1769,여성,30대
2023-09-20,화장품,메이크업,77705.66531568093,4,310822.66126272373,신규 고객,,오프라인 광고,8843,남성,10대
2023-12-19,의류,상의,77062.75666707818,9,693564.8100037037,일반 고객,,소셜 미디어,9258,여성,40대
2024-01-16,생활용품,주방용품,41413.80600789484,2,82827.61201578968,일반 고객,,오프라인 광고,4374,남성,20대
2024-03-21,식품,유제품,18271.389845929127,3,54814.169537787384,신규 고객,,이메일,7099,여성,40대
2023-11-17,식품,음료,5410.826424943513,4,21643.305699774053,충성 고객,SNS 프로모션,소셜 미디어,4725,여성,10대
2023-04-24,화장품,메이크업,79610.52994998058,2,159221.05989996117,충성 고객,,소셜 미디어,4267,여성,30대
2024-02-10,의류,신발,118451.85957828621,11,1302970.4553611483,일반 고객,제휴 마케팅,이메일,8693,남성,50대 이상
2024-07-31,의류,하의,134960.9836010592,6,809765.9016063553,일반 고객,,제휴 마케팅,5259,남성,10대
2023-04-20,화장품,헤어케어,67368.64179128893,2,134737.28358257786,일반 고객,,오프라인 광고,8340,여성,40대
2023-05-08,전자제품,가전제품,323812.3092222641,1,323812.3092222641,일반 고객,시즌 세일,제휴 마케팅,5349,여성,40대
2024-04-11,의류,액세서리,137143.07149044992,4,548572.2859617997,VIP 고객,,이메일,6448,여성,30대
2023-09-20,전자제품,스마트폰,126153.58787342849,2,252307.17574685698,일반 고객,,오프라인 광고,1419,여성,20대
2023-03-04,화장품,헤어케어,29029.369664891805,5,145146.84832445902,충성 고객,,제휴 마케팅,5481,여성,30대
2024-02-09,화장품,메이크업,68068.04915796792,3,204204.14747390378,신규 고객,제휴 마케팅,제휴 마케팅,3385,남성,50대 이상
2023-06-13,식품,육류,27765.003916248854,3,83295.01174874656,신규 고객,,오프라인 광고,5719,여성,20대
2023-08-15,식품,간식,27080.262060987545,1,27080.262060987545,충성 고객,회원 전용 이벤트,제휴 마케팅,8177,여성,20대
2023-08-20,화장품,헤어케어,39298.60507038844,2,78597.21014077688,일반 고객,회원 전용 이벤트,이메일,8083,남성,50대 이상
2023-01-08,화장품,스킨케어,45790.216359417485,3,137370.64907825246,일반 고객,,소셜 미디어,1365,여성,30대
2024-03-11,의류,아우터,142722.8663623561,3,428168.5990870682,충성 고객,,온라인 광고,3376,여성,20대
2024-07-14,전자제품,이어폰,1063770.9038346137,1,1063770.9038346137,충성 고객,,오프라인 광고,6978,여성,20대
2024-01-09,화장품,바디케어,73927.86049770878,1,73927.86049770878,일반 고객,,오프라인 광고,8128,여성,40대
2024-02-18,전자제품,가전제품,1014158.0073635011,4,4056632.0294540045,신규 고객,제휴 마케팅,온라인 광고,5875,남성,20대
2023-05-29,화장품,바디케어,29983.88899591098,3,89951.66698773294,충성 고객,시즌 세일,온라인 광고,8003,남성,50대 이상
2024-04-10,생활용품,청소용품,34898.80263418297,2,69797.60526836594,충성 고객,,제휴 마케팅,4754,남성,50대 이상
2023-12-19,의류,아우터,27881.538246924934,1,27881.538246924934,일반 고객,,온라인 광고,6995,남성,30대
2024-03-24,전자제품,태블릿,874952.3013310572,2,1749904.6026621144,충성 고객,,이메일,3159,남성,10대
2024-05-14,전자제품,노트북,612375.8284669579,3,1837127.4854008737,일반 고객,신규 고객 할인,이메일,8902,남성,30대
2023-04-11,생활용품,욕실용품,45303.13273240685,3,135909.39819722055,신규 고객,,제휴 마케팅,3023,남성,50대 이상
2023-07-21,전자제품,이어폰,388426.2278990997,1,388426.2278990997,일반 고객,,오프라인 광고,4959,여성,20대
2023-06-08,전자제품,이어폰,433973.0691048423,3,1301919.207314527,충성 고객,,소셜 미디어,6093,남성,40대
2023-01-19,화장품,헤어케어,23603.76061027195,3,70811.28183081586,충성 고객,,이메일,2019,여성,50대 이상
2023-06-10,식품,음료,6169.786484392356,1,6169.786484392356,충성 고객,,이메일,4471,남성,10대
2024-05-14,화장품,메이크업,45222.936696168406,1,45222.936696168406,VIP 고객,신규 고객 할인,소셜 미디어,9738,여성,20대
2023-12-15,화장품,헤어케어,65380.35013665116,3,196141.0504099535,신규 고객,,소셜 미디어,3978,남성,10대
2023-07-01,전자제품,이어폰,166220.95237563987,1,166220.95237563987,충성 고객,,소셜 미디어,3014,여성,10대
2023-07-24,전자제품,스마트폰,407924.74320739065,1,407924.74320739065,일반 고객,,소셜 미디어,5000,남성,20대
2023-07-22,전자제품,가전제품,610297.5480879076,3,1830892.644263723,신규 고객,,소셜 미디어,9100,여성,10대
2024-01-06,식품,간식,14068.161158191682,2,28136.322316383365,신규 고객,,소셜 미디어,1597,남성,10대
2024-07-26,화장품,메이크업,73657.53648117896,1,73657.53648117896,일반 고객,,온라인 광고,2537,여성,10대
2023-03-07,생활용품,화장지,40943.67962023704,3,122831.03886071112,신규 고객,,오프라인 광고,5666,여성,30대
2023-08-31,식품,간식,18724.58895111075,1,18724.58895111075,신규 고객,회원 전용 이벤트,제휴 마케팅,7823,여성,40대
2023-01-26,식품,채소,20354.025904809794,3,61062.07771442938,일반 고객,,이메일,5869,남성,40대
2024-01-14,생활용품,주방용품,36246.94486398636,5,181234.72431993182,신규 고객,,온라인 광고,5654,남성,20대
2024-07-07,전자제품,이어폰,619244.921803297,1,619244.921803297,VIP 고객,,소셜 미디어,2898,여성,10대
2023-08-08,식품,간식,20349.777321913192,6,122098.66393147915,일반 고객,회원 전용 이벤트,온라인 광고,9766,남성,50대 이상
2024-06-16,화장품,메이크업,80639.87358823467,1,80639.87358823467,신규 고객,,제휴 마케팅,7274,남성,40대
2024-01-17,화장품,향수,26643.496017345034,3,79930.4880520351,VIP 고객,,소셜 미디어,3990,여성,40대
2024-04-01,화장품,메이크업,69325.9057109825,2,138651.811421965,충성 고객,,소셜 미디어,9381,남성,50대 이상
2024-06-29,식품,육류,17994.85288673569,8,143958.82309388553,충성 고객,,이메일,9915,남성,20대
2023-03-07,의류,신발,136906.94674894735,5,684534.7337447368,신규 고객,,이메일,7659,여성,10대
2023-05-23,화장품,향수,25210.893477363476,4,100843.5739094539,충성 고객,시즌 세일,제휴 마케팅,8374,여성,30대
2023-09-08,의류,아우터,33297.924855542966,5,166489.6242777148,일반 고객,,이메일,6661,남성,30대
2023-10-08,생활용품,세제,26823.73062642105,1,26823.73062642105,충성 고객,,오프라인 광고,3990,여성,50대 이상
2024-04-09,식품,과일,17405.21312828659,5,87026.06564143294,일반 고객,,이메일,9259,여성,20대
2023-05-07,화장품,스킨케어,17341.4026260933,4,69365.6105043732,신규 고객,시즌 세일,오프라인 광고,8851,남성,50대 이상
2023-07-20,화장품,스킨케어,75945.73355404199,5,379728.66777020996,일반 고객,,오프라인 광고,7581,여성,10대
2023-01-26,전자제품,가전제품,994243.4848103666,1,994243.4848103666,일반 고객,,오프라인 광고,1771,여성,40대
2024-05-06,생활용품,화장지,21758.332884972893,5,108791.66442486446,신규 고객,신규 고객 할인,온라인 광고,7716,여성,20대
2023-10-10,의류,신발,58798.90024165487,1,58798.90024165487,신규 고객,,제휴 마케팅,5796,여성,10대
2023-10-29,식품,음료,21816.487123608695,4,87265.94849443478,충성 고객,,온라인 광고,1703,여성,20대
2023-12-29,식품,과일,10529.125039631232,3,31587.375118893695,신규 고객,,이메일,2517,남성,30대
2023-11-29,화장품,스킨케어,28691.49435611428,6,172148.9661366857,신규 고객,SNS 프로모션,제휴 마케팅,4311,남성,50대 이상
2023-04-13,전자제품,노트북,759167.6111617466,6,4555005.666970479,신규 고객,,온라인 광고,9611,여성,50대 이상
2024-02-16,전자제품,스마트폰,268139.2777040512,6,1608835.666224307,일반 고객,제휴 마케팅,제휴 마케팅,5200,여성,20대
2023-09-23,생활용품,주방용품,28462.720973991185,5,142313.60486995592,VIP 고객,,소셜 미디어,5008,여성,40대
2024-02-23,의류,상의,80933.9940870724,6,485603.9645224344,일반 고객,제휴 마케팅,온라인 광고,8446,여성,10대
2023-10-21,전자제품,가전제품,442559.206237991,5,2212796.031189955,일반 고객,,오프라인 광고,2823,남성,30대
2023-06-05,전자제품,스마트폰,798294.5563943512,3,2394883.6691830535,일반 고객,,오프라인 광고,5000,여성,20대
2024-03-15,전자제품,가전제품,947984.4700117648,5,4739922.350058824,일반 고객,,이메일,2829,여성,50대 이상
2024-01-27,생활용품,욕실용품,36664.080886243115,5,183320.40443121557,일반 고객,,이메일,7218,남성,40대
2023-06-04,의류,아우터,38372.0261565334,4,153488.1046261336,신규 고객,,소셜 미디어,9315,남성,30대
2023-03-28,전자제품,노트북,395799.3359797051,2,791598.6719594102,신규 고객,,온라인 광고,4807,여성,40대
2023-03-10,화장품,스킨케어,38722.29872366687,1,38722.29872366687,신규 고객,,이메일,5857,남성,50대 이상
2024-01-18,전자제품,가전제품,694101.2436037211,1,694101.2436037211,일반 고객,,제휴 마케팅,7626,남성,20대
2023-05-19,전자제품,태블릿,910730.3039113865,3,2732190.9117341596,충성 고객,시즌 세일,오프라인 광고,9848,남성,40대
2023-03-05,의류,액세서리,20104.44021594395,7,140731.08151160763,충성 고객,,오프라인 광고,8684,남성,40대
2024-07-11,생활용품,욕실용품,46338.4596899386,5,231692.29844969301,일반 고객,,소셜 미디어,6347,여성,30대
2024-02-21,의류,아우터,134081.48040744106,5,670407.4020372053,VIP 고객,제휴 마케팅,소셜 미디어,5699,남성,40대
2023-12-31,의류,상의,134089.14613826296,4,536356.5845530519,일반 고객,,제휴 마케팅,9182,여성,20대
2024-04-24,화장품,향수,14844.347673254058,5,74221.73836627029,충성 고객,,이메일,1695,여성,10대
2023-10-30,의류,아우터,100457.8245161247,5,502289.1225806235,신규 고객,,제휴 마케팅,3235,여성,10대
2023-05-07,식품,유제품,16121.773204921727,7,112852.41243445208,신규 고객,시즌 세일,오프라인 광고,9605,남성,30대
2023-12-21,의류,신발,107813.62476604272,3,323440.8742981282,일반 고객,,소셜 미디어,8547,여성,40대
2023-11-18,생활용품,화장지,19458.688310558464,3,58376.06493167539,충성 고객,SNS 프로모션,이메일,4701,남성,50대 이상
2023-11-17,식품,과일,26717.15351299516,2,53434.30702599032,충성 고객,SNS 프로모션,소셜 미디어,8651,여성,40대
2023-06-09,생활용품,화장지,26512.493576376157,4,106049.97430550463,일반 고객,,제휴 마케팅,8226,남성,20대
2023-01-12,생활용품,화장지,15664.072852746087,4,62656.29141098435,충성 고객,,온라인 광고,7056,여성,50대 이상
2023-06-06,전자제품,태블릿,701701.095805963,1,701701.095805963,일반 고객,,오프라인 광고,3224,여성,40대
2024-02-25,식품,채소,14024.621937492679,5,70123.1096874634,일반 고객,제휴 마케팅,온라인 광고,4607,여성,30대
2024-03-27,식품,음료,11144.284873405424,1,11144.284873405424,신규 고객,,제휴 마케팅,6621,여성,40대
2024-07-06,의류,하의,130293.86350378969,2,260587.72700757938,충성 고객,,소셜 미디어,5424,여성,30대
2023-04-10,화장품,바디케어,66223.71892460031,5,331118.5946230015,충성 고객,,오프라인 광고,4220,여성,10대
2023-12-22,화장품,헤어케어,20296.67212601342,1,20296.67212601342,일반 고객,,제휴 마케팅,4748,여성,20대
2024-02-02,생활용품,주방용품,45780.77712536253,4,183123.10850145013,신규 고객,제휴 마케팅,이메일,9931,여성,40대
2023-08-18,식품,유제품,8534.961862273502,5,42674.809311367506,신규 고객,회원 전용 이벤트,온라인 광고,5063,여성,50대 이상
2023-02-02,생활용품,욕실용품,16311.322358948159,6,97867.93415368896,충성 고객,신규 고객 할인,이메일,5552,여성,30대
2023-08-13,식품,간식,15641.957618706583,10,156419.57618706583,일반 고객,회원 전용 이벤트,소셜 미디어,9707,여성,10대
2024-03-09,의류,신발,120258.406951445,3,360775.220854335,신규 고객,,소셜 미디어,8468,남성,30대
2024-04-05,화장품,헤어케어,53210.15679796041,5,266050.78398980206,일반 고객,,온라인 광고,5781,여성,20대
