index,Date,Status,Fulfilment,ship-service-level,Style,SKU,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,Gender,Age Group,Month,Day,Weekday
24,2024-01-04,Shipped,Amazon,Expedited,고구마,VG-SWP-001,채소,1kg,Delivered,2,5800,성북구,서울,2800,VEGGIESALE,M,30대,1,4,Thursday
25,2024-01-04,Shipped,Coupang,Standard,연유,DP-CDM-001,유제품,300g,Delivered,1,4500,강동구,서울,5900,DAIRYPROMO,F,40대,1,4,Thursday
26,2024-01-04,Shipped,Market Kurly,Expedited,복숭아,FR-PCH-001,과일,5개입,In Transit,3,11700,분당구,경기도,13500,FRUITPROMO5,M,60대,1,4,Thursday
27,2024-01-04,Shipped,SSG.com,Standard,샐러드 채소,VG-SLD-001,채소,300g,Delivered,1,4700,일산동구,경기도,10300,VEGGIESALE,F,30대,1,4,Thursday
28,2024-01-05,Shipped,Amazon,Priority,플레인 요거트,DP-YGT-003,유제품,400g,Delivered,2,5500,수원시,경기도,16400,DAIRYPROMO,M,40대,1,5,Friday
29,2024-01-05,Shipped,Coupang,Standard,수박,FR-WML-001,과일,1통,Delivered,1,12900,용산구,서울,4000,SUMMERFRUIT,F,30대,1,5,Friday
30,2024-01-05,Shipped,Market Kurly,Expedited,양파,VG-ONI-001,채소,1kg,Delivered,3,3500,성동구,서울,4800,VEGGIESALE,M,50대,1,5,Friday
31,2024-01-05,Shipped,SSG.com,Standard,유기농 바나나,FR-BNN-002,과일,500g,Delivered,1,5990,마포구,서울,4100,FRUITPROMO5,F,40대,1,5,Friday
32,2024-01-05,Shipped,Amazon,Expedited,국산 방울토마토,VG-TOM-004,채소,200g,Delivered,2,3500,중구,서울,4500,NO_PROMO,M,30대,1,5,Friday
33,2024-01-06,Shipped,Coupang,Standard,순두부,DP-TFU-002,유제품,300g,In Transit,1,3000,종로구,서울,3000,FRESH10OFF,F,20대,1,6,Saturday
34,2024-01-06,Shipped,Market Kurly,Priority,아보카도,FR-AVC-002,과일,3개입,Delivered,3,6700,은평구,서울,3400,FRUITPROMO5,M,40대,1,6,Saturday
35,2024-01-06,Shipped,SSG.com,Standard,유기농 당근,VG-CRT-002,채소,500g,Delivered,1,4200,동대문구,서울,2500,VEGGIESALE,F,30대,1,6,Saturday
36,2024-01-06,Shipped,Amazon,Expedited,유기농 시금치,VG-SPN-002,채소,300g,Delivered,2,4900,서대문구,서울,3600,VEGGIESALE,M,50대,1,6,Saturday
37,2024-01-06,Shipped,Coupang,Standard,신선 우유,DP-MLK-003,유제품,1L,Delivered,1,2900,강북구,서울,1000,DAIRYPROMO,F,60대,1,6,Saturday
38,2024-01-07,Shipped,Market Kurly,Expedited,태국 망고,FR-MNG-002,과일,2개입,In Transit,3,7200,도봉구,서울,1300,SUMMERFRUIT,M,30대,1,7,Sunday
39,2024-01-07,Shipped,SSG.com,Standard,브로콜리,VG-BRC-002,채소,300g,Delivered,1,3900,노원구,서울,1300,NO_PROMO,F,40대,1,7,Sunday
40,2024-01-07,Shipped,Amazon,Priority,그릭 요거트,DP-YGT-004,유제품,500g,Delivered,2,7800,중랑구,서울,2100,DAIRYPROMO,M,50대,1,7,Sunday
41,2024-01-07,Shipped,Coupang,Standard,골드 키위,FR-KWI-002,과일,6개입,Delivered,1,8900,구로구,서울,8200,FRUITPROMO5,F,30대,1,7,Sunday
42,2024-01-07,Shipped,Market Kurly,Expedited,유기농 오이,VG-CCB-002,채소,3개입,Delivered,3,4800,금천구,서울,8500,VEGGIESALE,M,40대,1,7,Sunday
43,2024-01-08,Shipped,SSG.com,Standard,체다 치즈,DP-CHS-003,유제품,200g,In Transit,1,7900,동작구,서울,7200,DAIRYPROMO,F,20대,1,8,Monday
44,2024-01-08,Shipped,Amazon,Expedited,딸기,FR-STB-002,과일,400g,Delivered,2,12900,관악구,서울,8700,SUMMERFRUIT,M,50대,1,8,Monday
45,2024-01-08,Shipped,Coupang,Standard,양배추,VG-CBG-002,채소,1통,Delivered,1,3900,광진구,서울,5000,NO_PROMO,F,30대,1,8,Monday
46,2024-01-08,Shipped,Market Kurly,Priority,무가당 요구르트,DP-YGT-005,유제품,4개입,Delivered,3,6900,성북구,서울,2800,DAIRYPROMO,M,40대,1,8,Monday
47,2024-01-08,Shipped,SSG.com,Standard,파인애플,FR-PNP-002,과일,1개,Delivered,1,6900,강동구,서울,5900,FRUITPROMO5,F,50대,1,8,Monday
48,2024-01-09,Shipped,Amazon,Expedited,청경채,VG-BCH-002,채소,300g,In Transit,2,4900,분당구,경기도,13500,VEGGIESALE,M,30대,1,9,Tuesday
49,2024-01-09,Shipped,Coupang,Standard,저지방 우유,DP-MLK-004,유제품,1L,Delivered,1,3500,일산동구,경기도,10300,DAIRYPROMO,F,60대,1,9,Tuesday
50,2024-01-09,Shipped,Market Kurly,Expedited,블루베리,FR-BBR-002,과일,200g,Delivered,3,9800,수원시,경기도,16400,SUMMERFRUIT,M,30대,1,9,Tuesday
51,2024-01-09,Shipped,SSG.com,Standard,방울토마토,VG-TOM-005,채소,300g,Delivered,1,4800,용산구,서울,4000,VEGGIESALE,F,40대,1,9,Tuesday
52,2024-01-09,Shipped,Amazon,Priority,모짜렐라 치즈,DP-CHS-004,유제품,250g,Delivered,2,8500,성동구,서울,4800,DAIRYPROMO,M,50대,1,9,Tuesday
53,2024-01-10,Shipped,Coupang,Standard,사과,FR-APL-002,과일,1kg,In Transit,1,6500,마포구,서울,4100,FRUITPROMO5,F,30대,1,10,Wednesday
54,2024-01-10,Shipped,Market Kurly,Expedited,고구마,VG-SWP-002,채소,1kg,Delivered,3,5800,중구,서울,4500,VEGGIESALE,M,40대,1,10,Wednesday
55,2024-01-10,Shipped,SSG.com,Standard,연유,DP-CDM-002,유제품,300g,Delivered,1,4500,종로구,서울,3000,DAIRYPROMO,F,20대,1,10,Wednesday
56,2024-01-10,Shipped,Amazon,Expedited,복숭아,FR-PCH-002,과일,5개입,Delivered,2,11700,은평구,서울,3400,FRUITPROMO5,M,50대,1,10,Wednesday
57,2024-01-10,Shipped,Coupang,Standard,샐러드 채소,VG-SLD-002,채소,300g,Delivered,1,4700,동대문구,서울,2500,VEGGIESALE,F,30대,1,10,Wednesday
58,2024-01-11,Shipped,Market Kurly,Priority,플레인 요거트,DP-YGT-006,유제품,400g,In Transit,3,5500,서대문구,서울,3600,DAIRYPROMO,M,40대,1,11,Thursday
59,2024-01-11,Shipped,SSG.com,Standard,수박,FR-WML-002,과일,1통,Delivered,1,12900,강북구,서울,1000,SUMMERFRUIT,F,50대,1,11,Thursday
60,2024-01-11,Shipped,Amazon,Expedited,양파,VG-ONI-002,채소,1kg,Delivered,2,3500,도봉구,서울,1300,VEGGIESALE,M,30대,1,11,Thursday
61,2024-01-11,Shipped,Coupang,Standard,유기농 바나나,FR-BNN-003,과일,500g,Delivered,1,5990,노원구,서울,1300,FRUITPROMO5,F,60대,1,11,Thursday
62,2024-01-11,Shipped,Market Kurly,Expedited,국산 방울토마토,VG-TOM-006,채소,200g,Delivered,3,3500,중랑구,서울,2100,NO_PROMO,M,30대,1,11,Thursday
63,2024-01-12,Shipped,SSG.com,Standard,순두부,DP-TFU-003,유제품,300g,In Transit,1,3000,구로구,서울,8200,FRESH10OFF,F,40대,1,12,Friday
64,2024-01-12,Shipped,Amazon,Priority,아보카도,FR-AVC-003,과일,3개입,Delivered,2,6700,금천구,서울,8500,FRUITPROMO5,M,50대,1,12,Friday
65,2024-01-12,Shipped,Coupang,Standard,유기농 당근,VG-CRT-003,채소,500g,Delivered,1,4200,동작구,서울,7200,VEGGIESALE,F,30대,1,12,Friday
66,2024-01-12,Shipped,Market Kurly,Expedited,유기농 시금치,VG-SPN-003,채소,300g,Delivered,3,4900,관악구,서울,8700,VEGGIESALE,M,40대,1,12,Friday
67,2024-01-12,Shipped,SSG.com,Standard,신선 우유,DP-MLK-005,유제품,1L,Delivered,1,2900,광진구,서울,5000,DAIRYPROMO,F,20대,1,12,Friday
68,2024-01-13,Shipped,Amazon,Expedited,태국 망고,FR-MNG-003,과일,2개입,In Transit,2,7200,성북구,서울,2800,SUMMERFRUIT,M,50대,1,13,Saturday
69,2024-01-13,Shipped,Coupang,Standard,브로콜리,VG-BRC-003,채소,300g,Delivered,1,3900,강동구,서울,5900,NO_PROMO,F,30대,1,13,Saturday
70,2024-01-13,Shipped,Market Kurly,Priority,그릭 요거트,DP-YGT-007,유제품,500g,Delivered,3,7800,분당구,경기도,13500,DAIRYPROMO,M,40대,1,13,Saturday
71,2024-01-13,Shipped,SSG.com,Standard,골드 키위,FR-KWI-003,과일,6개입,Delivered,1,8900,일산동구,경기도,10300,FRUITPROMO5,F,50대,1,13,Saturday
72,2024-01-13,Shipped,Amazon,Expedited,유기농 오이,VG-CCB-003,채소,3개입,Delivered,2,4800,수원시,경기도,16400,VEGGIESALE,M,30대,1,13,Saturday
73,2024-01-14,Shipped,Coupang,Standard,체다 치즈,DP-CHS-005,유제품,200g,In Transit,1,7900,용산구,서울,4000,DAIRYPROMO,F,60대,1,14,Sunday
74,2024-01-14,Shipped,Market Kurly,Expedited,딸기,FR-STB-003,과일,400g,Delivered,3,12900,성동구,서울,4800,SUMMERFRUIT,M,30대,1,14,Sunday
75,2024-01-14,Shipped,SSG.com,Standard,양배추,VG-CBG-003,채소,1통,Delivered,1,3900,마포구,서울,4100,NO_PROMO,F,40대,1,14,Sunday
76,2024-01-14,Shipped,Amazon,Priority,무가당 요구르트,DP-YGT-008,유제품,4개입,Delivered,2,6900,중구,서울,4500,DAIRYPROMO,M,50대,1,14,Sunday
77,2024-01-14,Shipped,Coupang,Standard,파인애플,FR-PNP-003,과일,1개,Delivered,1,6900,종로구,서울,3000,FRUITPROMO5,F,30대,1,14,Sunday
78,2024-01-15,Shipped,Market Kurly,Expedited,청경채,VG-BCH-003,채소,300g,In Transit,3,4900,은평구,서울,3400,VEGGIESALE,M,40대,1,15,Monday
79,2024-01-15,Shipped,SSG.com,Standard,저지방 우유,DP-MLK-006,유제품,1L,Delivered,1,3500,동대문구,서울,2500,DAIRYPROMO,F,20대,1,15,Monday
80,2024-01-15,Shipped,Amazon,Expedited,블루베리,FR-BBR-003,과일,200g,Delivered,2,9800,서대문구,서울,3600,SUMMERFRUIT,M,50대,1,15,Monday
81,2024-01-15,Shipped,Coupang,Standard,방울토마토,VG-TOM-007,채소,300g,Delivered,1,4800,강북구,서울,1000,VEGGIESALE,F,30대,1,15,Monday
82,2024-01-15,Shipped,Market Kurly,Priority,모짜렐라 치즈,DP-CHS-006,유제품,250g,Delivered,3,8500,도봉구,서울,1300,DAIRYPROMO,M,40대,1,15,Monday
83,2024-01-16,Shipped,SSG.com,Standard,사과,FR-APL-003,과일,1kg,In Transit,1,6500,노원구,서울,1300,FRUITPROMO5,F,50대,1,16,Tuesday
84,2024-01-16,Shipped,Amazon,Expedited,고구마,VG-SWP-003,채소,1kg,Delivered,2,5800,중랑구,서울,2100,VEGGIESALE,M,30대,1,16,Tuesday
85,2024-01-16,Shipped,Coupang,Standard,연유,DP-CDM-003,유제품,300g,Delivered,1,4500,구로구,서울,8200,DAIRYPROMO,F,60대,1,16,Tuesday
86,2024-01-16,Shipped,Market Kurly,Expedited,복숭아,FR-PCH-003,과일,5개입,Delivered,3,11700,금천구,서울,8500,FRUITPROMO5,M,30대,1,16,Tuesday
87,2024-01-16,Shipped,SSG.com,Standard,샐러드 채소,VG-SLD-003,채소,300g,Delivered,1,4700,동작구,서울,7200,VEGGIESALE,F,40대,1,16,Tuesday
88,2024-01-17,Shipped,Amazon,Priority,플레인 요거트,DP-YGT-009,유제품,400g,In Transit,2,5500,관악구,서울,8700,DAIRYPROMO,M,50대,1,17,Wednesday
89,2024-01-17,Shipped,Coupang,Standard,수박,FR-WML-003,과일,1통,Delivered,1,12900,광진구,서울,5000,SUMMERFRUIT,F,30대,1,17,Wednesday
90,2024-01-17,Shipped,Market Kurly,Expedited,양파,VG-ONI-003,채소,1kg,Delivered,3,3500,성북구,서울,2800,VEGGIESALE,M,40대,1,17,Wednesday
91,2024-01-17,Shipped,SSG.com,Standard,유기농 바나나,FR-BNN-004,과일,500g,Delivered,1,5990,강동구,서울,5900,FRUITPROMO5,F,20대,1,17,Wednesday
92,2024-01-17,Shipped,Amazon,Expedited,국산 방울토마토,VG-TOM-008,채소,200g,Delivered,2,3500,분당구,경기도,13500,NO_PROMO,M,50대,1,17,Wednesday
93,2024-01-18,Shipped,Coupang,Standard,순두부,DP-TFU-004,유제품,300g,In Transit,1,3000,일산동구,경기도,10300,FRESH10OFF,F,30대,1,18,Thursday
94,2024-01-18,Shipped,Market Kurly,Priority,아보카도,FR-AVC-004,과일,3개입,Delivered,3,6700,수원시,경기도,16400,FRUITPROMO5,M,40대,1,18,Thursday
95,2024-01-18,Shipped,SSG.com,Standard,유기농 당근,VG-CRT-004,채소,500g,Delivered,1,4200,용산구,서울,4000,VEGGIESALE,F,50대,1,18,Thursday
96,2024-01-18,Shipped,Amazon,Expedited,유기농 시금치,VG-SPN-004,채소,300g,Delivered,2,4900,성동구,서울,4800,VEGGIESALE,M,30대,1,18,Thursday
97,2024-01-18,Shipped,Coupang,Standard,신선 우유,DP-MLK-007,유제품,1L,Delivered,1,2900,마포구,서울,4100,DAIRYPROMO,F,60대,1,18,Thursday
98,2024-01-19,Shipped,Market Kurly,Expedited,태국 망고,FR-MNG-004,과일,2개입,In Transit,3,7200,중구,서울,4500,SUMMERFRUIT,M,30대,1,19,Friday
99,2024-01-19,Shipped,SSG.com,Standard,브로콜리,VG-BRC-004,채소,300g,Delivered,1,3900,종로구,서울,3000,NO_PROMO,F,40대,1,19,Friday
100,2024-01-19,Shipped,Amazon,Priority,그릭 요거트,DP-YGT-010,유제품,500g,Delivered,2,7800,은평구,서울,3400,DAIRYPROMO,M,50대,1,19,Friday
101,2024-01-19,Shipped,Coupang,Standard,골드 키위,FR-KWI-004,과일,6개입,Delivered,1,8900,동대문구,서울,2500,FRUITPROMO5,F,30대,1,19,Friday
102,2024-01-19,Shipped,Market Kurly,Expedited,유기농 오이,VG-CCB-004,채소,3개입,Delivered,3,4800,서대문구,서울,3600,VEGGIESALE,M,40대,1,19,Friday
103,2024-01-20,Shipped,SSG.com,Standard,체다 치즈,DP-CHS-007,유제품,200g,In Transit,1,7900,강북구,서울,1000,DAIRYPROMO,F,20대,1,20,Saturday
104,2024-01-20,Shipped,Amazon,Expedited,딸기,FR-STB-004,과일,400g,Delivered,2,12900,도봉구,서울,1300,SUMMERFRUIT,M,50대,1,20,Saturday
105,2024-01-20,Shipped,Coupang,Standard,양배추,VG-CBG-004,채소,1통,Delivered,1,3900,노원구,서울,1300,NO_PROMO,F,30대,1,20,Saturday
106,2024-01-20,Shipped,Market Kurly,Priority,무가당 요구르트,DP-YGT-011,유제품,4개입,Delivered,3,6900,중랑구,서울,2100,DAIRYPROMO,M,40대,1,20,Saturday
107,2024-01-20,Shipped,SSG.com,Standard,파인애플,FR-PNP-004,과일,1개,Delivered,1,6900,구로구,서울,8200,FRUITPROMO5,F,50대,1,20,Saturday
108,2024-01-21,Shipped,Amazon,Expedited,청경채,VG-BCH-004,채소,300g,In Transit,2,4900,금천구,서울,8500,VEGGIESALE,M,30대,1,21,Sunday
109,2024-01-21,Shipped,Coupang,Standard,저지방 우유,DP-MLK-008,유제품,1L,Delivered,1,3500,동작구,서울,7200,DAIRYPROMO,F,60대,1,21,Sunday
110,2024-01-21,Shipped,Market Kurly,Expedited,블루베리,FR-BBR-004,과일,200g,Delivered,3,9800,관악구,서울,8700,SUMMERFRUIT,M,30대,1,21,Sunday
111,2024-01-21,Shipped,SSG.com,Standard,방울토마토,VG-TOM-009,채소,300g,Delivered,1,4800,광진구,서울,5000,VEGGIESALE,F,40대,1,21,Sunday
112,2024-01-21,Shipped,Amazon,Priority,모짜렐라 치즈,DP-CHS-008,유제품,250g,Delivered,2,8500,성북구,서울,2800,DAIRYPROMO,M,50대,1,21,Sunday
113,2024-01-22,Shipped,Coupang,Standard,사과,FR-APL-004,과일,1kg,In Transit,1,6500,강동구,서울,5900,FRUITPROMO5,F,30대,1,22,Monday
114,2024-01-22,Shipped,Market Kurly,Expedited,고구마,VG-SWP-004,채소,1kg,Delivered,3,5800,분당구,경기도,13500,VEGGIESALE,M,40대,1,22,Monday
115,2024-01-22,Shipped,SSG.com,Standard,연유,DP-CDM-004,유제품,300g,Delivered,1,4500,일산동구,경기도,10300,DAIRYPROMO,F,20대,1,22,Monday
116,2024-01-22,Shipped,Amazon,Expedited,복숭아,FR-PCH-004,과일,5개입,Delivered,2,11700,수원시,경기도,16400,FRUITPROMO5,M,50대,1,22,Monday
117,2024-01-22,Shipped,Coupang,Standard,샐러드 채소,VG-SLD-004,채소,300g,Delivered,1,4700,용산구,서울,4000,VEGGIESALE,F,30대,1,22,Monday
118,2024-01-23,Shipped,Market Kurly,Priority,플레인 요거트,DP-YGT-012,유제품,400g,In Transit,3,5500,성동구,서울,4800,DAIRYPROMO,M,40대,1,23,Tuesday
119,2024-01-23,Shipped,SSG.com,Standard,수박,FR-WML-004,과일,1통,Delivered,1,12900,마포구,서울,4100,SUMMERFRUIT,F,50대,1,23,Tuesday
120,2024-01-23,Shipped,Amazon,Expedited,양파,VG-ONI-004,채소,1kg,Delivered,2,3500,중구,서울,4500,VEGGIESALE,M,30대,1,23,Tuesday
121,2024-01-23,Shipped,Coupang,Standard,유기농 바나나,FR-BNN-005,과일,500g,Delivered,1,5990,종로구,서울,3000,FRUITPROMO5,F,60대,1,23,Tuesday
122,2024-01-23,Shipped,Market Kurly,Expedited,국산 방울토마토,VG-TOM-010,채소,200g,Delivered,3,3500,은평구,서울,3400,NO_PROMO,M,30대,1,23,Tuesday
123,2024-01-24,Shipped,SSG.com,Standard,순두부,DP-TFU-005,유제품,300g,In Transit,1,3000,동대문구,서울,2500,FRESH10OFF,F,40대,1,24,Wednesday
124,2024-01-24,Shipped,Amazon,Priority,아보카도,FR-AVC-005,과일,3개입,Delivered,2,6700,서대문구,서울,3600,FRUITPROMO5,M,50대,1,24,Wednesday
125,2024-01-24,Shipped,Coupang,Standard,유기농 당근,VG-CRT-005,채소,500g,Delivered,1,4200,강북구,서울,1000,VEGGIESALE,F,30대,1,24,Wednesday
126,2024-01-24,Shipped,Market Kurly,Expedited,유기농 시금치,VG-SPN-005,채소,300g,Delivered,3,4900,도봉구,서울,1300,VEGGIESALE,M,40대,1,24,Wednesday
127,2024-01-24,Shipped,SSG.com,Standard,신선 우유,DP-MLK-009,유제품,1L,Delivered,1,2900,노원구,서울,1300,DAIRYPROMO,F,20대,1,24,Wednesday
128,2024-01-25,Shipped,Amazon,Expedited,태국 망고,FR-MNG-005,과일,2개입,In Transit,2,7200,중랑구,서울,2100,SUMMERFRUIT,M,50대,1,25,Thursday
129,2024-01-25,Shipped,Coupang,Standard,브로콜리,VG-BRC-005,채소,300g,Delivered,1,3900,구로구,서울,8200,NO_PROMO,F,30대,1,25,Thursday
130,2024-01-25,Shipped,Market Kurly,Priority,그릭 요거트,DP-YGT-013,유제품,500g,Delivered,3,7800,금천구,서울,8500,DAIRYPROMO,M,40대,1,25,Thursday
131,2024-01-25,Shipped,SSG.com,Standard,골드 키위,FR-KWI-005,과일,6개입,Delivered,1,8900,동작구,서울,7200,FRUITPROMO5,F,50대,1,25,Thursday
132,2024-01-25,Shipped,Amazon,Expedited,유기농 오이,VG-CCB-005,채소,3개입,Delivered,2,4800,관악구,서울,8700,VEGGIESALE,M,30대,1,25,Thursday
133,2024-01-26,Shipped,Coupang,Standard,체다 치즈,DP-CHS-009,유제품,200g,In Transit,1,7900,광진구,서울,5000,DAIRYPROMO,F,60대,1,26,Friday
134,2024-01-26,Shipped,Market Kurly,Expedited,딸기,FR-STB-005,과일,400g,Delivered,3,12900,성북구,서울,2800,SUMMERFRUIT,M,30대,1,26,Friday
135,2024-01-26,Shipped,SSG.com,Standard,양배추,VG-CBG-005,채소,1통,Delivered,1,3900,강동구,서울,5900,NO_PROMO,F,40대,1,26,Friday
136,2024-01-26,Shipped,Amazon,Priority,무가당 요구르트,DP-YGT-014,유제품,4개입,Delivered,2,6900,분당구,경기도,13500,DAIRYPROMO,M,50대,1,26,Friday
137,2024-01-26,Shipped,Coupang,Standard,파인애플,FR-PNP-005,과일,1개,Delivered,1,6900,일산동구,경기도,10300,FRUITPROMO5,F,30대,1,26,Friday
138,2024-01-27,Shipped,Market Kurly,Expedited,청경채,VG-BCH-005,채소,300g,In Transit,3,4900,수원시,경기도,16400,VEGGIESALE,M,40대,1,27,Saturday
139,2024-01-27,Shipped,SSG.com,Standard,저지방 우유,DP-MLK-010,유제품,1L,Delivered,1,3500,용산구,서울,4000,DAIRYPROMO,F,20대,1,27,Saturday
140,2024-01-27,Shipped,Amazon,Expedited,블루베리,FR-BBR-005,과일,200g,Delivered,2,9800,성동구,서울,4800,SUMMERFRUIT,M,50대,1,27,Saturday
141,2024-01-27,Shipped,Coupang,Standard,방울토마토,VG-TOM-011,채소,300g,Delivered,1,4800,마포구,서울,4100,VEGGIESALE,F,30대,1,27,Saturday
142,2024-01-27,Shipped,Market Kurly,Priority,모짜렐라 치즈,DP-CHS-010,유제품,250g,Delivered,3,8500,중구,서울,4500,DAIRYPROMO,M,40대,1,27,Saturday
143,2024-01-28,Shipped,SSG.com,Standard,사과,FR-APL-005,과일,1kg,In Transit,1,6500,종로구,서울,3000,FRUITPROMO5,F,50대,1,28,Sunday
144,2024-01-28,Shipped,Amazon,Expedited,고구마,VG-SWP-005,채소,1kg,Delivered,2,5800,은평구,서울,3400,VEGGIESALE,M,30대,1,28,Sunday
145,2024-01-28,Shipped,Coupang,Standard,연유,DP-CDM-005,유제품,300g,Delivered,1,4500,동대문구,서울,2500,DAIRYPROMO,F,60대,1,28,Sunday
146,2024-01-28,Shipped,Market Kurly,Expedited,복숭아,FR-PCH-005,과일,5개입,Delivered,3,11700,서대문구,서울,3600,FRUITPROMO5,M,30대,1,28,Sunday
147,2024-01-28,Shipped,SSG.com,Standard,샐러드 채소,VG-SLD-005,채소,300g,Delivered,1,4700,강북구,서울,1000,VEGGIESALE,F,40대,1,28,Sunday
148,2024-01-29,Shipped,Amazon,Priority,플레인 요거트,DP-YGT-015,유제품,400g,In Transit,2,5500,도봉구,서울,1300,DAIRYPROMO,M,50대,1,29,Monday
149,2024-01-29,Shipped,Coupang,Standard,수박,FR-WML-005,과일,1통,Delivered,1,12900,노원구,서울,1300,SUMMERFRUIT,F,30대,1,29,Monday
150,2024-01-29,Shipped,Market Kurly,Expedited,양파,VG-ONI-005,채소,1kg,Delivered,3,3500,중랑구,서울,2100,VEGGIESALE,M,40대,1,29,Monday
151,2024-01-29,Shipped,SSG.com,Standard,유기농 바나나,FR-BNN-006,과일,500g,Delivered,1,5990,구로구,서울,8200,FRUITPROMO5,F,20대,1,29,Monday
152,2024-01-29,Shipped,Amazon,Expedited,국산 방울토마토,VG-TOM-012,채소,200g,Delivered,2,3500,금천구,서울,8500,NO_PROMO,M,50대,1,29,Monday
153,2024-01-30,Shipped,Coupang,Standard,순두부,DP-TFU-006,유제품,300g,In Transit,1,3000,동작구,서울,7200,FRESH10OFF,F,30대,1,30,Tuesday
154,2024-01-30,Shipped,Market Kurly,Priority,아보카도,FR-AVC-006,과일,3개입,Delivered,3,6700,관악구,서울,8700,FRUITPROMO5,M,40대,1,30,Tuesday
